RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, None, 7.29, 246.2, -53.0, -0.2, None, None, None, None, None, None, None, None, None, None, 0.142, None, 0.5, None, None, 32.08, None, 0.1, 0.1, None,2022-10-29 00:00:00, None,44
None, None, None, None, 9.79, 238.5, -53.0, -0.2, None, None, None, None, None, None, None, None, None, None, 0.021, None, 0.5, None, None, 24.93, None, 0.0, 0.2, None,2022-10-29 01:00:00, None,44
None, None, None, None, 7.85, 232.7, -53.0, -0.2, None, None, None, None, None, None, None, None, None, None, 0.596, None, 0.6, None, None, 32.92, None, 0.6, 0.0, None,2022-10-29 02:00:00, None,44
None, None, None, None, 11.06, 231.4, -53.0, -0.2, None, None, None, None, None, None, None, None, None, None, 0.299, None, 0.6, None, None, 27.94, None, 0.3, 0.0, None,2022-10-29 03:00:00, None,44
None, None, None, None, 10.26, 241.0, -49.0, -0.2, None, None, None, None, None, None, None, None, None, None, -0.025, None, 0.6, None, None, 22.29, None, 0.0, 0.0, None,2022-10-29 04:00:00, None,44
None, None, None, None, 6.234, 215.6, -53.0, -0.2, None, None, None, None, None, None, None, None, None, None, 0.581, None, 0.7, None, None, 45.47, None, 0.6, 0.0, None,2022-10-29 05:00:00, None,44
None, None, None, None, 3.185, 165.0, -53.0, -0.2, None, None, None, None, None, None, None, None, None, None, 0.486, None, 1.0, None, None, 50.62, None, 0.5, 0.0, None,2022-10-29 06:00:00, None,44
None, None, None, None, 1.693, 204.7, -53.0, 0.1, None, None, None, None, None, None, None, None, None, None, 0.476, None, 0.8, None, None, 69.51, None, 0.5, 0.0, None,2022-10-29 07:00:00, None,44
None, None, None, None, 3.91, 177.1, -53.0, 0.1, None, None, None, None, None, None, None, None, None, None, 1.089, None, 1.2, None, None, 44.03, None, 1.1, 0.0, None,2022-10-29 08:00:00, None,44
None, None, None, None, 7.67, 252.7, -53.0, 0.1, None, None, None, None, None, None, None, None, None, None, 0.403, None, 1.2, None, None, 20.46, None, 0.4, 0.0, None,2022-10-29 09:00:00, None,44
None, None, None, None, 5.43, 261.6, -53.0, 0.1, None, None, None, None, None, None, None, None, None, None, 0.875, None, 1.7, None, None, 25.27, None, 0.9, 0.0, None,2022-10-29 10:00:00, None,44
None, None, None, None, 3.788, 238.7, -51.0, 0.1, None, None, None, None, None, None, None, None, None, None, 2.77, None, 4.2, None, None, 38.09, None, 2.8, 0.3, None,2022-10-29 11:00:00, None,44
