pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,snw_dpth,dwpt_temp,week_of_year
0.2,8.3,7.2, 0.0, None,13.4, None,2022-11-05 00:00:00, None, None,45
0.2,8.4,7.2, 0.0, None,13.4, None,2022-11-05 01:00:00, None, None,45
0.2,7.8,7.2, 0.0, None,13.4, None,2022-11-05 02:00:00, None, None,45
0.0,7.4,7.2, 0.0, None,13.4, None,2022-11-05 03:00:00, None, None,45
0.0,7.0,7.0, 0.0, None,13.4, None,2022-11-05 04:00:00, None, None,45
0.0,7.1,6.9, 0.0, None,13.4, None,2022-11-05 05:00:00, None, None,45
0.0,6.8,6.8, 0.0, None,13.4, None,2022-11-05 06:00:00, None, None,45
0.0,6.9,6.8, 0.0, None,7.3, None,2022-11-05 07:00:00, None, None,45
0.0,5.4,5.4, 0.0, None,7.3, None,2022-11-05 08:00:00, None, None,45
0.0,5.7,5.3, 0.0, None,7.3, None,2022-11-05 09:00:00, None, None,45
0.0,7.1,5.3, 0.0, None,7.3, None,2022-11-05 10:00:00, None, None,45
0.0,8.0,5.3, 0.0, None,8.3, None,2022-11-05 11:00:00, None, None,45
0.0,9.0,5.3, 0.0, None,9.4, None,2022-11-05 12:00:00, None, None,45
0.0,9.1,5.3, 0.0, None,9.7, None,2022-11-05 13:00:00, None, None,45
0.0,9.2,5.3, 0.0, None,10.0, None,2022-11-05 14:00:00, None, None,45
0.0,9.4,5.3, 0.0, None,10.0, None,2022-11-05 15:00:00, None, None,45
0.0,9.1,5.3, 0.0, None,10.0, None,2022-11-05 16:00:00, None, None,45
0.0,9.2,5.3, 0.0, None,10.0, None,2022-11-05 17:00:00, None, None,45
0.0,7.5,5.3, 0.0, None,10.0, None,2022-11-05 18:00:00, None, None,45
0.0,6.3,6.3, 0.0, None,7.5, None,2022-11-05 19:00:00, None, None,45
0.0,4.6,4.4, 0.0, None,7.5, None,2022-11-05 21:00:00, None, None,45
0.0,4.7,4.4, 0.0, None,7.5, None,2022-11-05 23:00:00, None, None,45
0.0,4.8,4.4, 0.0, None,7.5, None,2022-11-06 00:00:00, None, None,45
None,5.4,4.4, 0.0, None,7.5, None,2022-11-06 02:00:00, None, None,45
None,5.2,4.4, 0.2, None,7.5, None,2022-11-06 03:00:00, None, None,45
None,3.3,3.3, 0.3, None,7.5, None,2022-11-06 04:00:00, None, None,45
None,2.7,2.6, 0.4, None,7.5, None,2022-11-06 05:00:00, None, None,45
None,2.1,2.1, 0.6, None,7.5, None,2022-11-06 06:00:00, None, None,45
None,2.3,2.0, 0.1, None,2.3, None,2022-11-06 07:00:00, None, None,45
None,2.5,2.0, 0.1, None,2.6, None,2022-11-06 08:00:00, None, None,45
None,2.5,2.0, 0.3, None,2.6, None,2022-11-06 09:00:00, None, None,45
None,3.3,2.0, 0.3, None,3.3, None,2022-11-06 10:00:00, None, None,45
None,1.7,1.3, 0.4, None,3.4, None,2022-11-06 13:00:00, None, None,45
None,2.1,1.3, 0.2, None,3.4, None,2022-11-06 14:00:00, None, None,45
None,3.3,1.3, 0.0, None,3.4, None,2022-11-06 15:00:00, None, None,45
None,3.3,1.3, 0.0, None,3.7, None,2022-11-06 17:00:00, None, None,45
None,2.7,1.3, 0.0, None,3.7, None,2022-11-06 18:00:00, None, None,45
None,2.9,2.5, 0.2, None,2.9, None,2022-11-06 20:00:00, None, None,45
None,3.3,2.5, 0.0, None,3.3, None,2022-11-06 21:00:00, None, None,45
