pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,PRECIP_DETECTOR_RATIO,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,MAXIMUM_MEASURED_WIND_SPEED1,week_of_year
9.1, 4.202, 85.6, None, None, None, None, None, None, None, 2.0, 4.2, 2.5, 1.0, None, 4.2, None, 86.0, None,2022-11-05 00:00:00, None,45
12.5, 3.062, 88.0, None, None, None, None, None, None, None, 1.0, 3.1, 2.1, 3.4, None, 4.2, None, 88.0, None,2022-11-05 01:00:00, None,45
13.9, 1.673, 93.4, None, None, None, None, None, None, None, 1.0, 1.7, 1.7, 1.4, None, 4.2, None, 93.0, None,2022-11-05 02:00:00, None,45
13.7, 0.438, 94.4, None, None, None, None, None, None, None, 0.0, 0.4, 0.5, 0.0, None, 4.2, None, 94.0, None,2022-11-05 03:00:00, None,45
13.3, 0.048, 95.2, None, None, None, None, None, None, None, -1.0, 0.0, 0.1, 0.0, None, 4.2, None, 95.0, None,2022-11-05 04:00:00, None,45
13.1, -0.048, 95.7, None, None, None, None, None, None, None, -1.0, 0.0, 0.0, 0.0, None, 4.2, None, 96.0, None,2022-11-05 05:00:00, None,45
13.1, 0.354, 96.2, None, None, None, None, None, None, None, 0.0, 0.4, -0.3, 0.0, None, 4.2, None, 96.0, None,2022-11-05 06:00:00, None,45
13.1, 0.264, 96.2, None, None, None, None, None, None, None, 0.0, 0.3, 0.2, 0.0, None, 0.6, None, 96.0, None,2022-11-05 07:00:00, None,45
12.8, 0.116, 96.3, None, None, None, None, None, None, None, 0.0, 0.1, 0.0, 0.0, None, 0.6, None, 96.0, None,2022-11-05 08:00:00, None,45
12.5, 0.288, 96.0, None, None, None, None, None, None, None, 0.0, 0.3, 0.0, 0.0, None, 0.8, None, 96.0, None,2022-11-05 09:00:00, None,45
12.5, 0.796, 95.8, None, None, None, None, None, None, None, 0.0, 0.8, 0.0, 0.0, None, 0.9, None, 96.0, None,2022-11-05 10:00:00, None,45
12.5, 1.482, 95.8, None, None, None, None, None, None, None, 1.0, 1.5, 0.0, 0.0, None, 1.5, None, 96.0, None,2022-11-05 11:00:00, None,45
12.5, 2.157, 94.6, None, None, None, None, None, None, None, 1.0, 2.2, 0.0, 0.0, None, 2.2, None, 95.0, None,2022-11-05 12:00:00, None,45
12.5, 2.718, 93.4, None, None, None, None, None, None, None, 2.0, 2.7, 0.0, 0.0, None, 2.7, None, 93.0, None,2022-11-05 13:00:00, None,45
12.5, 4.242, 90.6, None, None, None, None, None, None, None, 3.0, 4.2, 0.0, 0.0, None, 4.2, None, 91.0, None,2022-11-05 14:00:00, None,45
12.5, 4.298, 86.4, None, None, None, None, None, None, None, 2.0, 4.3, 0.0, 0.0, None, 4.4, None, 86.0, None,2022-11-05 15:00:00, None,45
12.5, 3.456, 88.6, None, None, None, None, None, None, None, 2.0, 3.5, 0.0, 0.0, None, 4.4, None, 89.0, None,2022-11-05 16:00:00, None,45
12.5, 1.753, 89.3, None, None, None, None, None, None, None, 0.0, 1.8, 0.0, 0.0, None, 4.4, None, 89.0, None,2022-11-05 17:00:00, None,45
12.5, 0.033, 92.3, None, None, None, None, None, None, None, -1.0, 0.0, 0.0, 0.0, None, 4.4, None, 92.0, None,2022-11-05 18:00:00, None,45
None, -0.228, 93.5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2022-11-05 19:00:00, None,45
12.1, -0.802, 93.9, None, None, None, None, None, None, None, -2.0, -0.8, -0.9, 0.0, None, 0.1, None, 94.0, None,2022-11-05 20:00:00, None,45
None, -1.23, 93.7, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2022-11-05 21:00:00, None,45
5.8, -1.81, 93.2, None, None, None, None, None, None, None, -3.0, -1.8, -1.8, 0.0, None, 0.1, None, 93.0, None,2022-11-05 22:00:00, None,45
5.8, -2.141, 92.6, None, None, None, None, None, None, None, -3.0, -2.1, -2.1, 0.0, None, 0.1, None, 93.0, None,2022-11-05 23:00:00, None,45
4.8, -2.577, 91.7, None, None, None, None, None, None, None, -4.0, -2.6, -2.6, 0.0, None, 0.1, None, 92.0, None,2022-11-06 00:00:00, None,45
None, -2.863, 91.4, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2022-11-06 01:00:00, None,45
None, -2.713, 91.3, None, None, None, None, None, None, None, -4.0, -2.7, -3.1, 0.0, None, 0.1, None, 91.0, None,2022-11-06 02:00:00, None,45
None, -2.378, 89.7, None, None, None, None, None, None, None, -4.0, -2.4, -3.1, 0.0, None, 0.1, None, 90.0, None,2022-11-06 03:00:00, None,45
None, -2.236, 89.1, None, None, None, None, None, None, None, -4.0, -2.2, -3.1, 0.0, None, 0.1, None, 89.0, None,2022-11-06 04:00:00, None,45
None, -1.784, 76.52, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2022-11-06 05:00:00, None,45
None, -1.841, 77.64, None, None, None, None, None, None, None, -5.0, -1.8, -3.1, 0.0, None, 0.1, None, 78.0, None,2022-11-06 06:00:00, None,45
None, -2.161, 83.7, None, None, None, None, None, None, None, -4.0, -2.2, -2.1, 0.1, None, -1.8, None, 84.0, None,2022-11-06 07:00:00, None,45
None, None, None, None, None, None, None, None, None, None, -4.0, -2.7, -2.7, 0.5, None, -1.8, None, 90.0, None,2022-11-06 08:00:00, None,45
None, -3.077, 91.6, None, None, None, None, None, None, None, -4.0, -3.1, -3.1, 0.7, None, -1.8, None, 92.0, None,2022-11-06 09:00:00, None,45
None, None, None, None, None, None, None, None, None, None, -4.0, -3.5, -3.7, 1.1, None, -1.8, None, 93.0, None,2022-11-06 13:00:00, None,45
None, -3.866, 91.3, None, None, None, None, None, None, None, -5.0, -3.9, -3.9, 0.8, None, -1.8, None, 91.0, None,2022-11-06 14:00:00, None,45
None, None, None, None, None, None, None, None, None, None, -6.0, -4.5, -4.5, 0.6, None, -1.8, None, 91.0, None,2022-11-06 15:00:00, None,45
None, -4.792, 79.2, None, None, None, None, None, None, None, -8.0, -4.8, -4.9, 0.1, None, -1.8, None, 79.0, None,2022-11-06 17:00:00, None,45
None, -4.973, 83.5, None, None, None, None, None, None, None, -7.0, -5.0, -5.0, 0.0, None, -1.8, None, 84.0, None,2022-11-06 18:00:00, None,45
None, -5.07, 83.2, None, None, None, None, None, None, None, -7.0, -5.1, -5.2, 0.0, None, -5.0, None, 83.0, None,2022-11-06 19:00:00, None,45
None, -4.397, 66.61, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2022-11-06 20:00:00, None,45
None, -4.613, 62.37, None, None, None, None, None, None, None, -10.0, -4.6, -5.2, 0.0, None, -4.3, None, 62.0, None,2022-11-06 21:00:00, None,45
None, None, None, None, None, None, None, None, None, None, -10.0, -5.1, -5.2, 0.1, None, -4.3, None, 65.0, None,2022-11-06 22:00:00, None,45
None, -5.654, 64.84, None, None, None, None, None, None, None, -11.0, -5.7, -5.7, 0.0, None, -4.3, None, 65.0, None,2022-11-06 23:00:00, None,45
None, -5.922, 62.77, None, None, None, None, None, None, None, -11.0, -5.9, -5.9, 0.0, None, -4.3, None, 63.0, None,2022-11-07 00:00:00, None,45
7.8, None, None, None, None, None, None, None, None, None, -12.0, -6.1, -6.1, 0.0, None, -4.3, None, 60.0, None,2022-11-07 01:00:00, None,45
7.8, -6.516, 65.08, None, None, None, None, None, None, None, -12.0, -6.5, -6.5, 0.0, None, -4.3, None, 65.0, None,2022-11-07 02:00:00, None,45
None, None, None, None, None, None, None, None, None, None, -13.0, -8.5, -8.5, 0.0, None, -8.3, None, 69.0, None,2022-11-07 08:00:00, None,45
None, -8.31, 62.68, None, None, None, None, None, None, None, -13.0, -8.3, -8.5, 0.0, None, -8.3, None, 63.0, None,2022-11-07 09:00:00, None,45
None, -8.13, 55.96, None, None, None, None, None, None, None, -15.0, -8.1, -8.5, 0.0, None, -8.1, None, 56.0, None,2022-11-07 10:00:00, None,45
None, -7.955, 52.99, None, None, None, None, None, None, None, -15.0, -8.0, -8.5, 0.0, None, -7.9, None, 53.0, None,2022-11-07 11:00:00, None,45
3.2, -8.07, 48.99, None, None, None, None, None, None, None, -16.0, -8.1, -8.5, 0.0, None, -7.8, None, 49.0, None,2022-11-07 12:00:00, None,45
2.1, -8.17, 47.51, None, None, None, None, None, None, None, -17.0, -8.2, -8.5, 0.0, None, -7.8, None, 48.0, None,2022-11-07 13:00:00, None,45
