CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,PRECIP_DETECTOR_RATIO,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None, 0.266, 16.64, None, None, None, 25.58, 4.396, None, 282.0, -22.0, None, 0.3, -0.9, None, None, None, None, 1.3, None, None, 17.0, None,2022-11-19 00:00:00, None, None, None, None,47
None, 0.728, 17.26, None, None, None, 2.832, 11.09, None, 259.9, -21.0, None, 0.7, -0.9, None, None, None, None, 1.3, None, None, 17.0, None,2022-11-19 01:00:00, None, None, None, None,47
None, 0.6, 17.64, None, None, None, 9.59, 13.2, None, 269.8, -21.0, None, 0.6, -0.9, None, None, None, None, 1.3, None, None, 18.0, None,2022-11-19 02:00:00, None, None, None, None,47
None, 0.281, 16.87, None, None, None, 7.362, 15.5, None, 281.8, -22.0, None, 0.3, -0.9, None, None, None, None, 1.3, None, None, 17.0, None,2022-11-19 03:00:00, None, None, None, None,47
None, -0.152, 15.46, None, None, None, 4.338, 24.43, None, 292.3, -21.0, None, -0.2, -0.9, None, None, None, None, 1.3, None, None, 15.0, None,2022-11-19 04:00:00, None, None, None, None,47
None, -0.362, 13.96, None, None, None, 3.259, 24.01, None, 289.0, -22.0, None, -0.4, -0.9, None, None, None, None, 1.3, None, None, 14.0, None,2022-11-19 05:00:00, None, None, None, None,47
None, -0.561, 13.29, None, None, None, 3.604, 21.8, None, 290.4, -23.0, None, -0.6, -0.9, None, None, None, None, 1.3, None, None, 13.0, None,2022-11-19 06:00:00, None, None, None, None,47
None, -0.342, 11.93, None, None, None, 14.33, 15.61, None, 301.4, -24.0, None, -0.3, -0.8, None, None, None, None, -0.1, None, None, 12.0, None,2022-11-19 07:00:00, None, None, None, None,47
None, 0.387, 10.89, None, None, None, 8.29, 15.24, None, 295.9, -27.0, None, 0.4, -0.8, None, None, None, None, 0.4, None, None, 11.0, None,2022-11-19 08:00:00, None, None, None, None,47
None, 1.591, 9.49, None, None, None, 7.465, 16.08, None, 285.6, -27.0, None, 1.6, -0.8, None, None, None, None, 1.6, None, None, 9.0, None,2022-11-19 09:00:00, None, None, None, None,47
None, 1.125, 10.26, None, None, None, 6.008, 16.15, None, 276.9, -27.0, None, 1.1, -0.8, None, None, None, None, 1.8, None, None, 10.0, None,2022-11-19 10:00:00, None, None, None, None,47
None, 1.831, 11.44, None, None, None, 6.286, 20.4, None, 281.3, -25.0, None, 1.8, -0.8, None, None, None, None, 3.1, None, None, 11.0, None,2022-11-19 15:00:00, None, None, None, None,47
None, 0.142, 14.41, None, None, None, 6.694, 19.95, None, 287.3, -24.0, None, 0.1, -0.8, None, None, None, None, 3.1, None, None, 14.0, None,2022-11-19 16:00:00, None, None, None, None,47
None, -0.185, 14.45, None, None, None, 5.045, 20.41, None, 282.7, -22.0, None, -0.2, -0.8, None, None, None, None, 3.1, None, None, 14.0, None,2022-11-19 17:00:00, None, None, None, None,47
None, -0.36, 16.03, None, None, None, 4.455, 19.55, None, 282.8, -21.0, None, -0.4, -0.8, None, None, None, None, 3.1, None, None, 16.0, None,2022-11-19 18:00:00, None, None, None, None,47
None, -0.333, 17.51, None, None, None, 2.748, 18.81, None, 281.8, -20.0, None, -0.3, -0.5, None, None, None, None, -0.3, None, None, 18.0, None,2022-11-19 19:00:00, None, None, None, None,47
None, 0.052, 17.53, None, None, None, 6.443, 19.93, None, 287.5, -22.0, None, 0.1, -0.5, None, None, None, None, 0.1, None, None, 18.0, None,2022-11-19 20:00:00, None, None, None, None,47
None, 0.157, 17.06, None, None, None, 2.939, 19.79, None, 296.9, -22.0, None, 0.2, -0.5, None, None, None, None, 0.1, None, None, 17.0, None,2022-11-19 21:00:00, None, None, None, None,47
None, 0.448, 15.91, None, None, None, 3.078, 19.3, None, 295.6, -23.0, None, 0.4, -0.5, None, None, None, None, 0.4, None, None, 16.0, None,2022-11-19 22:00:00, None, None, None, None,47
None, -0.097, 18.46, None, None, None, 5.898, 18.51, None, 291.3, -19.0, None, -0.1, -0.5, None, None, None, None, 0.4, None, None, 18.0, None,2022-11-19 23:00:00, None, None, None, None,47
None, -0.775, 21.47, None, None, None, 5.24, 19.54, None, 287.8, -18.0, None, -0.8, -0.9, None, None, None, None, 0.4, None, None, 21.0, None,2022-11-20 00:00:00, None, None, None, None,47
None, -1.025, 22.37, None, None, None, 6.29, 16.99, None, 284.6, -18.0, None, -1.0, -1.1, None, None, None, None, 0.4, None, None, 22.0, None,2022-11-20 01:00:00, None, None, None, None,47
None, -0.749, 22.67, None, None, None, 7.66, 19.35, None, 286.5, -18.0, None, -0.7, -1.1, None, None, None, None, 0.4, None, None, 23.0, None,2022-11-20 02:00:00, None, None, None, None,47
None, -1.109, 24.08, None, None, None, 10.52, 20.3, None, 291.9, -17.0, None, -1.1, -1.1, None, None, None, None, 0.4, None, None, 24.0, None,2022-11-20 03:00:00, None, None, None, None,47
None, -1.592, 28.53, None, None, None, 9.77, 19.89, None, 289.0, -16.0, None, -1.6, -1.7, None, None, None, None, 0.4, None, None, 29.0, None,2022-11-20 04:00:00, None, None, None, None,47
