pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,stn_pres,week_of_year
None,-7.6,-9.6, 1041.1, None, None,-7.2,81.0,2022-11-19 00:00:00,-10.0,954.0,47
None,-7.3,-9.6, 1040.0, None, None,-7.2,84.0,2022-11-19 01:00:00,-9.0,953.0,47
None,-7.7,-9.6, 1040.0, None, None,-7.2,78.0,2022-11-19 02:00:00,-10.0,953.0,47
None,-7.6,-9.6, 1040.2, None, None,-7.2,76.0,2022-11-19 03:00:00,-11.0,953.0,47
None,-7.8,-9.6, 1040.4, None, None,-7.2,80.0,2022-11-19 04:00:00,-10.0,953.0,47
None,-7.7,-9.6, 1040.4, None, None,-7.2,73.0,2022-11-19 05:00:00,-11.0,953.0,47
None,-7.9,-9.6, 1039.4, None, None,-7.2,80.0,2022-11-19 06:00:00,-10.0,952.0,47
None,-7.8,-8.0, 1039.4, None, None,-7.6,77.0,2022-11-19 07:00:00,-11.0,952.0,47
None,-8.2,-8.4, 1039.4, None, None,-7.6,77.0,2022-11-19 08:00:00,-11.0,952.0,47
None,-8.2,-8.4, 1039.2, None, None,-7.6,76.0,2022-11-19 09:00:00,-11.0,952.0,47
None,-7.7,-8.4, 1039.1, None, None,-7.5,76.0,2022-11-19 10:00:00,-11.0,952.0,47
None,-7.2,-8.4, 1039.1, None, None,-7.1,79.0,2022-11-19 11:00:00,-10.0,952.0,47
None,-6.7,-8.4, 1038.0, None, None,-6.7,77.0,2022-11-19 12:00:00,-10.0,951.0,47
None,-6.2,-8.4, 1037.9, None, None,-6.0,76.0,2022-11-19 13:00:00,-9.0,951.0,47
None,-5.8,-8.4, 1036.8, None, None,-5.7,73.0,2022-11-19 14:00:00,-9.0,950.0,47
None,-5.5,-8.4, 1036.7, None, None,-5.4,74.0,2022-11-19 15:00:00,-9.0,950.0,47
None,-5.6,-8.4, 1036.8, None, None,-5.4,76.0,2022-11-19 16:00:00,-9.0,950.0,47
None,-6.1,-8.4, 1036.8, None, None,-5.4,79.0,2022-11-19 17:00:00,-9.0,950.0,47
None,-6.3,-8.4, 1036.9, None, None,-5.4,79.0,2022-11-19 18:00:00,-9.0,950.0,47
None,-6.4,-6.4, 1036.9, None, None,-6.1,75.0,2022-11-19 19:00:00,-9.0,950.0,47
None,-7.1,-7.1, 1037.0, None, None,-6.1,74.0,2022-11-19 20:00:00,-10.0,950.0,47
None,-7.0,-7.2, 1037.0, None, None,-6.1,73.0,2022-11-19 21:00:00,-10.0,950.0,47
None,-6.9,-7.2, 1036.9, None, None,-6.1,78.0,2022-11-19 22:00:00,-10.0,950.0,47
None,-6.9,-7.2, 1036.9, None, None,-6.1,78.0,2022-11-19 23:00:00,-10.0,950.0,47
None,-7.2,-7.2, 1036.8, None, None,-6.1,80.0,2022-11-20 00:00:00,-10.0,950.0,47
None,-7.5,-7.5, 1036.8, None, None,-6.1,80.0,2022-11-20 01:00:00,-10.0,950.0,47
None,-7.4,-7.6, 1036.8, None, None,-6.1,80.0,2022-11-20 02:00:00,-10.0,950.0,47
None,-7.4,-7.6, 1035.6, None, None,-6.1,80.0,2022-11-20 03:00:00,-10.0,949.0,47
None,-7.3,-7.6, 1035.6, None, None,-6.1,81.0,2022-11-20 04:00:00,-10.0,949.0,47
None,-7.6,-7.6, 1035.7, None, None,-6.1,83.0,2022-11-20 05:00:00,-10.0,949.0,47
None,-7.3,-7.6, 1035.7, None, None,-6.1,82.0,2022-11-20 06:00:00,-10.0,949.0,47
None,-7.3,-7.5, 1035.7, None, None,-7.0,81.0,2022-11-20 07:00:00,-10.0,949.0,47
None,-7.1,-7.5, 1035.8, None, None,-7.0,82.0,2022-11-20 08:00:00,-9.0,949.0,47
None,-6.8,-7.5, 1035.7, None, None,-6.7,80.0,2022-11-20 09:00:00,-9.0,949.0,47
None,-6.5,-7.5, 1035.7, None, None,-6.4,80.0,2022-11-20 10:00:00,-9.0,949.0,47
None,-5.4,-7.5, 1035.6, None, None,-5.2,78.0,2022-11-20 11:00:00,-8.0,949.0,47
None,-4.9,-7.5, 1034.5, None, None,-4.8,77.0,2022-11-20 12:00:00,-8.0,948.0,47
