CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,MEASURED_WIND_DIRECTION1,MEASURED_WIND_SPEED1,air_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,dwpt_temp,time,week_of_year
-8.39, 97.5, -6.2, 98.0, None, 14.12, None, 269.9, 13.91, -8.4, -8.9, -9.0, None, -9.0,2022-11-26 00:00:00,48
-8.91, 96.7, -6.2, 97.0, None, 22.14, None, 282.0, 11.5, -8.9, -9.1, -9.0, None, -9.0,2022-11-26 01:00:00,48
-9.33, 95.8, -6.2, 96.0, None, 27.02, None, 275.8, 8.95, -9.3, -9.8, -10.0, None, -10.0,2022-11-26 02:00:00,48
-9.82, 95.2, -6.2, 95.0, None, 33.69, None, 290.9, 11.58, -9.8, -10.2, -11.0, None, -11.0,2022-11-26 03:00:00,48
-10.11, 94.7, -6.2, 95.0, None, 21.45, None, 259.2, 10.57, -10.1, -10.3, -11.0, None, -11.0,2022-11-26 04:00:00,48
-10.11, 94.6, -6.2, 95.0, None, 25.73, None, 268.3, 9.04, -10.1, -10.4, -11.0, None, -11.0,2022-11-26 05:00:00,48
-10.32, 94.3, -6.2, 94.0, None, 19.15, None, 267.4, 10.92, -10.3, -10.9, -11.0, None, -11.0,2022-11-26 06:00:00,48
-10.5, 94.1, -10.1, 94.0, None, 9.8, None, 257.6, 13.19, -10.5, -10.6, -11.0, None, -11.0,2022-11-26 07:00:00,48
-10.12, 94.1, -9.9, 94.0, None, 10.55, None, 246.4, 12.74, -10.1, -11.0, -11.0, None, -11.0,2022-11-26 08:00:00,48
-10.03, 93.3, -9.8, 93.0, None, 15.71, None, 253.8, 12.53, -10.0, -11.0, -11.0, None, -11.0,2022-11-26 09:00:00,48
-9.88, 94.4, -9.6, 94.0, None, 15.19, None, 262.0, 14.93, -9.9, -11.0, -10.0, None, -10.0,2022-11-26 10:00:00,48
-9.18, 95.6, -9.0, 96.0, None, 16.91, None, 259.6, 13.89, -9.2, -11.0, -10.0, None, -10.0,2022-11-26 11:00:00,48
-9.01, 95.5, -8.6, 96.0, None, 29.42, None, 264.3, 10.34, -9.0, -11.0, -9.0, None, -9.0,2022-11-26 12:00:00,48
-9.66, 94.9, -8.6, 95.0, None, 23.5, None, 280.7, 15.02, -9.7, -11.0, -10.0, None, -10.0,2022-11-26 13:00:00,48
-9.76, 95.0, -8.6, 95.0, None, 23.32, None, 286.0, 17.79, -9.8, -11.0, -10.0, None, -10.0,2022-11-26 14:00:00,48
-9.69, 95.5, -8.6, 96.0, None, 23.24, None, 285.1, 18.92, -9.7, -11.0, -11.0, None, -11.0,2022-11-26 15:00:00,48
-10.06, 94.9, -8.6, 95.0, None, 25.92, None, 277.1, 21.28, -10.1, -11.0, -10.0, None, -10.0,2022-11-26 16:00:00,48
