air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,HEIGHT_OF_SNOW,time,snw_dpth,dwpt_temp,stn_pres,week_of_year
-18.3, -18.26, -18.3, 0.0, 0.0, -17.3, 117.96,2022-12-03 00:00:00, 118.0, -62.0, 388.0,49
-17.2, -17.19, -18.6, 0.0, 1.0, -17.2, 118.95,2022-12-03 01:00:00, 119.0, -61.0, 388.0,49
-17.3, -17.3, -18.6, 0.0, -2.0, -15.8, 117.28,2022-12-03 02:00:00, 117.0, -61.0, 388.0,49
-18.3, -18.28, -18.6, 0.0, 0.0, -15.6, 117.47,2022-12-03 03:00:00, 117.0, -62.0, 388.0,49
-15.8, -15.8, -18.6, 0.0, 1.0, -15.6, 118.92,2022-12-03 04:00:00, 119.0, -60.0, 388.0,49
-13.2, -13.18, -18.6, 0.0, 0.0, -13.2, 118.66,2022-12-03 05:00:00, 119.0, -58.0, 388.0,49
-14.9, -14.86, -18.6, 0.0, -2.0, -13.1, 116.66,2022-12-03 06:00:00, 117.0, -59.0, 388.0,49
-15.1, -15.07, -17.0, 0.0, 0.0, -12.5, 116.92,2022-12-03 07:00:00, 117.0, -59.0, 388.0,49
-12.2, -12.23, -17.0, 0.0, 0.0, -11.3, 116.63,2022-12-03 08:00:00, 117.0, -57.0, 388.0,49
-12.3, -12.34, -17.0, 0.0, 3.0, -11.3, 119.24,2022-12-03 09:00:00, 119.0, -58.0, 388.0,49
-12.2, -12.18, -17.0, 0.0, 1.0, -9.6, 120.3,2022-12-03 10:00:00, 120.0, -57.0, 388.0,49
-12.4, -12.4, -17.0, 0.0, -2.0, -9.6, 117.97,2022-12-03 11:00:00, 118.0, -58.0, 388.0,49
-8.1, -8.1, -17.0, 0.0, 1.0, -8.1, 118.63,2022-12-03 12:00:00, 119.0, -55.0, 388.0,49
-9.9, -9.88, -17.0, 0.0, -1.0, -7.9, 117.51,2022-12-03 13:00:00, 118.0, -56.0, 389.0,49
-8.9, -8.91, -17.0, 0.0, 0.0, -7.1, 117.49,2022-12-03 14:00:00, 117.0, -55.0, 389.0,49
-9.4, -9.39, -17.0, 0.0, 0.0, -7.1, 117.55,2022-12-03 15:00:00, 118.0, -56.0, 389.0,49
-7.5, -7.54, -17.0, 0.0, 0.0, -6.9, 117.54,2022-12-03 16:00:00, 118.0, -54.0, 389.0,49
-7.1, -7.11, -17.0, 0.0, 1.0, -6.6, 118.43,2022-12-03 17:00:00, 118.0, -54.0, 389.0,49
-8.5, -8.54, -17.0, 0.0, -1.0, -6.6, 117.74,2022-12-03 18:00:00, 118.0, -55.0, 389.0,49
-7.4, -7.35, -9.1, 0.0, -1.0, -6.2, 116.62,2022-12-03 19:00:00, 117.0, -54.0, 389.0,49
-6.5, -6.472, -9.5, 0.0, 0.0, -6.1, 116.27,2022-12-03 20:00:00, 116.0, -54.0, 389.0,49
-8.1, -8.06, -9.5, 0.0, 0.0, -6.1, 116.03,2022-12-03 21:00:00, 116.0, -55.0, 390.0,49
-6.3, -6.299, -9.8, 0.0, 2.0, -5.5, 117.54,2022-12-03 22:00:00, 118.0, -53.0, 389.0,49
-5.1, -5.07, -9.8, 0.0, -1.0, -4.7, 116.4,2022-12-03 23:00:00, 116.0, -53.0, 390.0,49
-7.0, -7.01, -9.8, 0.0, -1.0, -4.7, 115.65,2022-12-04 00:00:00, 116.0, -54.0, 390.0,49
-4.5, -4.475, -9.8, 0.0, -1.0, -3.8, 115.13,2022-12-04 01:00:00, 115.0, -52.0, 390.0,49
-6.1, -6.109, -9.8, 0.0, 1.0, -3.8, 116.03,2022-12-04 02:00:00, 116.0, -53.0, 390.0,49
-3.6, -3.551, -9.8, 0.0, 0.0, -3.6, 116.45,2022-12-04 03:00:00, 116.0, -52.0, 390.0,49
-6.8, -6.819, -9.8, 0.0, -1.0, -3.6, 115.91,2022-12-04 04:00:00, 116.0, -54.0, 390.0,49
-6.0, -6.021, -9.8, 0.0, 0.0, -3.6, 115.83,2022-12-04 05:00:00, 116.0, -53.0, 390.0,49
-4.4, -4.387, -9.8, 0.0, 0.0, -3.6, 116.06,2022-12-04 06:00:00, 116.0, -52.0, 390.0,49
-4.3, -4.305, -6.1, 0.0, -1.0, -3.3, 115.24,2022-12-04 07:00:00, 115.0, -52.0, 391.0,49
