WDIR_VECT,time,HUMIDITY,week_of_year
316.6,2022-01-29 00:00:00,92.5,5
43.5,2022-01-29 01:00:00,92.2,5
27.5,2022-01-29 02:00:00,92.9,5
25.4,2022-01-29 03:00:00,93.0,5
150.2,2022-01-29 04:00:00,93.1,5
33.5,2022-01-29 05:00:00,92.4,5
35.7,2022-01-29 06:00:00,92.5,5
167.3,2022-01-29 07:00:00,92.2,5
74.3,2022-01-29 08:00:00,91.5,5
43.8,2022-01-29 09:00:00,90.2,5
130.5,2022-01-29 10:00:00,86.4,5
106.5,2022-01-29 11:00:00,75.7,5
201.0,2022-01-29 12:00:00,71.8,5
198.6,2022-01-29 13:00:00,69.8,5
196.6,2022-01-29 14:00:00,71.1,5
206.9,2022-01-29 15:00:00,71.0,5
190.7,2022-01-29 16:00:00,72.2,5
190.4,2022-01-29 17:00:00,73.8,5
192.9,2022-01-29 18:00:00,74.6,5
189.7,2022-01-29 19:00:00,76.9,5
190.0,2022-01-29 20:00:00,78.3,5
205.6,2022-01-29 21:00:00,80.9,5
199.4,2022-01-29 22:00:00,80.8,5
183.5,2022-01-29 23:00:00,81.0,5
188.9,2022-01-30 00:00:00,81.6,5
182.8,2022-01-30 01:00:00,83.0,5
143.5,2022-01-30 02:00:00,83.1,5
177.8,2022-01-30 03:00:00,84.6,5
195.3,2022-01-30 04:00:00,85.4,5
197.3,2022-01-30 05:00:00,85.7,5
182.3,2022-01-30 06:00:00,87.0,5
194.8,2022-01-30 07:00:00,90.5,5
161.8,2022-01-30 08:00:00,89.3,5
182.1,2022-01-30 09:00:00,87.8,5
187.2,2022-01-30 10:00:00,85.8,5
188.4,2022-01-30 11:00:00,84.5,5
208.7,2022-01-30 12:00:00,81.6,5
200.8,2022-01-30 13:00:00,79.4,5
212.5,2022-01-30 14:00:00,78.2,5
204.6,2022-01-30 15:00:00,76.8,5
200.0,2022-01-30 16:00:00,75.6,5
204.7,2022-01-30 17:00:00,78.4,5
192.2,2022-01-30 18:00:00,80.4,5
196.5,2022-01-30 19:00:00,82.5,5
186.7,2022-01-30 20:00:00,84.1,5
203.0,2022-01-30 21:00:00,89.8,5
200.7,2022-01-30 22:00:00,93.6,5
198.4,2022-01-30 23:00:00,94.9,5
149.8,2022-01-31 00:00:00,93.9,5
239.2,2022-01-31 01:00:00,92.6,5
198.8,2022-01-31 02:00:00,91.5,5
196.9,2022-01-31 03:00:00,88.4,5
199.0,2022-01-31 04:00:00,88.2,5
197.4,2022-01-31 05:00:00,86.6,5
194.9,2022-01-31 06:00:00,84.4,5
195.2,2022-01-31 07:00:00,81.1,5
184.7,2022-01-31 08:00:00,75.2,5
179.0,2022-01-31 09:00:00,73.8,5
191.7,2022-01-31 10:00:00,70.6,5
166.9,2022-01-31 11:00:00,64.9,5
176.2,2022-01-31 12:00:00,59.8,5
177.4,2022-01-31 13:00:00,55.0,5
139.5,2022-01-31 14:00:00,46.8,5
347.8,2022-01-31 15:00:00,43.9,5
242.2,2022-01-31 16:00:00,42.6,5
355.7,2022-01-31 17:00:00,52.5,5
353.6,2022-01-31 18:00:00,61.3,5
8.6,2022-01-31 19:00:00,72.4,5
225.3,2022-01-31 20:00:00,75.9,5
344.9,2022-01-31 21:00:00,77.5,5
351.0,2022-01-31 22:00:00,79.4,5
27.5,2022-01-31 23:00:00,79.6,5
17.5,2022-02-01 00:00:00,84.1,5
346.3,2022-02-01 01:00:00,82.1,5
113.2,2022-02-01 02:00:00,80.6,5
171.2,2022-02-01 03:00:00,81.2,5
169.2,2022-02-01 04:00:00,81.2,5
167.4,2022-02-01 05:00:00,83.8,5
