WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,time,avg_air_temp_pst1hr,week_of_year
18.3, None, None,86.3,2022-12-10 00:00:00, None,50
22.6, None, None,84.8,2022-12-10 01:00:00, None,50
21.2, None, None,82.8,2022-12-10 02:00:00, None,50
47.5, None, None,78.4,2022-12-10 03:00:00, None,50
34.9, None, None,82.3,2022-12-10 04:00:00, None,50
30.7, None, None,76.5,2022-12-10 05:00:00, None,50
39.0, None, None,75.9,2022-12-10 06:00:00, None,50
29.0, None, None,82.2,2022-12-10 07:00:00, None,50
28.1, None, None,78.2,2022-12-10 08:00:00, None,50
19.8, None, None,73.8,2022-12-10 09:00:00, None,50
19.4, None, None,82.8,2022-12-10 10:00:00, None,50
32.3, None, None,78.0,2022-12-10 11:00:00, None,50
28.4, None, None,72.7,2022-12-10 12:00:00, None,50
32.6, None, None,72.8,2022-12-10 13:00:00, None,50
29.6, None, None,78.3,2022-12-10 14:00:00, None,50
26.6, None, None,82.7,2022-12-10 15:00:00, None,50
27.8, None, None,79.2,2022-12-10 16:00:00, None,50
9.3, None, None,85.4,2022-12-10 17:00:00, None,50
11.5, None, None,78.0,2022-12-10 18:00:00, None,50
8.0, None, None,70.2,2022-12-10 19:00:00, None,50
2.4, None, None,69.9,2022-12-10 20:00:00, None,50
0.8, None, None,74.4,2022-12-10 21:00:00, None,50
355.4, None, None,74.4,2022-12-10 22:00:00, None,50
352.6, None, None,78.7,2022-12-10 23:00:00, None,50
349.4, None, None,77.4,2022-12-11 00:00:00, None,50
348.3, None, None,74.0,2022-12-11 01:00:00, None,50
345.7, None, None,75.1,2022-12-11 02:00:00, None,50
340.1, None, None,76.7,2022-12-11 03:00:00, None,50
348.0, None, None,76.7,2022-12-11 04:00:00, None,50
349.9, None, None,75.8,2022-12-11 05:00:00, None,50
347.9, None, None,77.9,2022-12-11 06:00:00, None,50
342.5, None, None,78.3,2022-12-11 07:00:00, None,50
339.0, None, None,78.2,2022-12-11 08:00:00, None,50
338.9, None, None,77.1,2022-12-11 09:00:00, None,50
338.0, None, None,72.6,2022-12-11 10:00:00, None,50
343.0, None, None,71.1,2022-12-11 11:00:00, None,50
343.0, None, None,71.3,2022-12-11 12:00:00, None,50
335.2, None, None,69.6,2022-12-11 13:00:00, None,50
333.8, None, None,64.8,2022-12-11 14:00:00, None,50
321.1, None, None,60.9,2022-12-11 15:00:00, None,50
246.0, None, None,69.7,2022-12-11 16:00:00, None,50
289.3, None, None,71.8,2022-12-11 17:00:00, None,50
294.4, None, None,72.3,2022-12-11 18:00:00, None,50
305.8, None, None,71.1,2022-12-11 19:00:00, None,50
305.5, None, None,71.0,2022-12-11 20:00:00, None,50
261.6, None, None,75.1,2022-12-11 21:00:00, None,50
298.3, None, None,77.0,2022-12-11 22:00:00, None,50
227.4, None, None,80.3,2022-12-11 23:00:00, None,50
233.1, None, None,81.4,2022-12-12 00:00:00, None,50
231.4, None, None,80.6,2022-12-12 01:00:00, None,50
286.4, None, None,80.1,2022-12-12 02:00:00, None,50
307.7, None, None,78.5,2022-12-12 03:00:00, None,50
185.1, None, None,78.9,2022-12-12 04:00:00, None,50
114.4, None, None,77.4,2022-12-12 05:00:00, None,50
150.6, None, None,76.1,2022-12-12 06:00:00, None,50
209.7, None, None,76.3,2022-12-12 07:00:00, None,50
115.7, None, None,75.4,2022-12-12 08:00:00, None,50
37.6, None, None,76.1,2022-12-12 09:00:00, None,50
49.2, None, None,77.0,2022-12-12 10:00:00, None,50
99.3, None, None,77.5,2022-12-12 11:00:00, None,50
93.4, None, None,79.3,2022-12-12 12:00:00, None,50
157.9, None, None,81.1,2022-12-12 13:00:00, None,50
62.2, None, None,79.9,2022-12-12 14:00:00, None,50
110.6, None, None,79.2,2022-12-12 15:00:00, None,50
64.4, None, None,79.8,2022-12-12 16:00:00, None,50
59.6, None, None,79.3,2022-12-12 17:00:00, None,50
344.5, None, None,81.1,2022-12-12 18:00:00, None,50
31.6, None, None,81.2,2022-12-12 19:00:00, None,50
26.4, None, None,80.8,2022-12-12 20:00:00, None,50
10.0, None, None,81.7,2022-12-12 21:00:00, None,50
358.1, None, None,81.8,2022-12-12 22:00:00, None,50
7.8, None, None,81.5,2022-12-12 23:00:00, None,50
64.4, None, None,80.4,2022-12-13 00:00:00, None,50
48.1, None, None,80.4,2022-12-13 01:00:00, None,50
5.4, None, None,80.7,2022-12-13 02:00:00, None,50
56.2, None, None,81.2,2022-12-13 03:00:00, None,50
50.8, None, None,81.3,2022-12-13 04:00:00, None,50
31.9, None, None,81.3,2022-12-13 05:00:00, None,50
62.5, None, None,81.7,2022-12-13 06:00:00, None,50
57.9, None, None,82.1,2022-12-13 07:00:00, None,50
1.1, None, None,82.7,2022-12-13 08:00:00, None,50
172.9, None, None,84.9,2022-12-13 09:00:00, None,50
182.5, None, None,88.0,2022-12-13 10:00:00, None,50
208.3, None, None,88.4,2022-12-13 11:00:00, None,50
230.6, None, None,87.9,2022-12-13 12:00:00, None,50
237.2, None, None,86.5,2022-12-13 13:00:00, None,50
246.4, None, None,85.5,2022-12-13 14:00:00, None,50
234.8, None, None,85.1,2022-12-13 15:00:00, None,50
239.1, None, None,85.9,2022-12-13 16:00:00, None,50
220.1, None, None,88.8,2022-12-13 17:00:00, None,50
268.7, None, None,89.6,2022-12-13 18:00:00, None,50
307.7, None, None,88.8,2022-12-13 19:00:00, None,50
280.6, None, None,88.1,2022-12-13 20:00:00, None,50
310.0, None, None,86.9,2022-12-13 21:00:00, None,50
266.6, None, None,85.9,2022-12-13 22:00:00, None,50
229.4, None, None,85.9,2022-12-13 23:00:00, None,50
152.4, None, None,84.2,2022-12-14 00:00:00, None,50
176.2, None, None,83.6,2022-12-14 01:00:00, None,50
195.2, None, None,82.7,2022-12-14 02:00:00, None,50
75.6, None, None,82.3,2022-12-14 03:00:00, None,50
206.9, None, None,84.1,2022-12-14 04:00:00, None,50
210.8, None, None,85.1,2022-12-14 05:00:00, None,50
232.3, None, None,84.6,2022-12-14 06:00:00, None,50
246.3, None, None,84.9,2022-12-14 07:00:00, None,50
34.0, None, None,84.5,2022-12-14 08:00:00, None,50
181.6, None, None,84.9,2022-12-14 09:00:00, None,50
198.9, None, None,84.6,2022-12-14 10:00:00, None,50
179.8, None, None,85.5,2022-12-14 11:00:00, None,50
145.8, None, None,86.2,2022-12-14 12:00:00, None,50
129.6, None, None,86.8,2022-12-14 13:00:00, None,50
183.7, None, None,87.5,2022-12-14 14:00:00, None,50
179.8, None, None,88.0,2022-12-14 15:00:00, None,50
98.1, None, None,88.5,2022-12-14 16:00:00, None,50
44.2, None, None,88.6,2022-12-14 17:00:00, None,50
0.0, None, None,89.0,2022-12-14 18:00:00, None,50
47.8, None, None,88.9,2022-12-14 19:00:00, None,50
174.8, None, None,89.2,2022-12-14 20:00:00, None,50
168.6, None, None,89.8,2022-12-14 21:00:00, None,50
191.7, None, None,89.3,2022-12-14 22:00:00, None,50
177.8, None, None,89.5,2022-12-14 23:00:00, None,50
172.8, None, None,89.6,2022-12-15 00:00:00, None,50
182.3, None, None,89.7,2022-12-15 01:00:00, None,50
170.6, None, None,89.7,2022-12-15 02:00:00, None,50
173.3, None, None,89.4,2022-12-15 03:00:00, None,50
172.5, None, None,89.5,2022-12-15 04:00:00, None,50
157.2, None, None,89.3,2022-12-15 05:00:00, None,50
158.4, None, None,89.0,2022-12-15 06:00:00, None,50
169.2, None, None,88.5,2022-12-15 07:00:00, None,50
184.0, None, None,87.8,2022-12-15 08:00:00, None,50
160.5, None, None,87.4,2022-12-15 09:00:00, None,50
80.6, None, None,86.8,2022-12-15 10:00:00, None,50
121.5, None, None,86.7,2022-12-15 11:00:00, None,50
177.6, None, None,86.9,2022-12-15 12:00:00, None,50
168.1, None, None,87.1,2022-12-15 13:00:00, None,50
173.1, None, None,86.4,2022-12-15 14:00:00, None,50
114.7, None, None,87.8,2022-12-15 15:00:00, None,50
109.8, None, None,88.3,2022-12-15 16:00:00, None,50
155.3, None, None,88.1,2022-12-15 17:00:00, None,50
66.3, None, None,87.1,2022-12-15 18:00:00, None,50
358.6, None, None,86.4,2022-12-15 19:00:00, None,50
219.4, None, None,86.3,2022-12-15 20:00:00, None,50
279.8, None, None,86.3,2022-12-15 21:00:00, None,50
73.6, None, None,86.6,2022-12-15 22:00:00, None,50
344.8, None, None,86.4,2022-12-15 23:00:00, None,50
227.8, None, None,86.3,2022-12-16 00:00:00, None,50
191.5, None, None,88.0,2022-12-16 01:00:00, None,50
205.2, None, None,88.1,2022-12-16 02:00:00, None,50
