air_temp,temperature,dwpt_temp,rel_hum,relative_humidity,rnfl_amt_pst24hrs,rnfl_amt_pst1hr,snw_dpth,precipitation,time,week_of_year
2.7, 3.0, 2.4, 98.0, 98.0, 21.7, 2.0, 65.0, 1.6,2022-12-24 00:00:00,52
3.0, 3.0, 2.7, 98.0, 99.0, 23.3, 1.6, 64.0, 2.3,2022-12-24 01:00:00,52
3.0, 3.9, 2.9, 99.0, 98.0, 25.6, 2.3, 63.0, 1.9,2022-12-24 02:00:00,52
3.9, 3.5, 3.6, 98.0, 98.0, 27.5, 1.9, 63.0, 2.7,2022-12-24 03:00:00,52
3.5, 4.0, 3.2, 98.0, 97.0, 30.2, 2.7, 62.0, 1.8,2022-12-24 04:00:00,52
4.0, 3.7, 3.6, 97.0, 100.0, 32.0, 1.8, 61.0, 3.3,2022-12-24 05:00:00,52
3.7, 3.4, 3.7, 100.0, 100.0, 35.3, 3.3, 60.0, 2.9,2022-12-24 06:00:00,52
3.4, 3.4, 3.4, 100.0, 100.0, 38.2, 2.9, 60.0, 4.2,2022-12-24 07:00:00,52
3.4, 3.4, 3.4, 100.0, 100.0, 42.4, 4.2, 59.0, 3.0,2022-12-24 08:00:00,52
3.4, 3.6, 3.4, 100.0, 100.0, 45.4, 3.0, 58.0, 2.2,2022-12-24 09:00:00,52
3.6, 3.7, 3.6, 100.0, 100.0, 47.6, 2.2, 58.0, 1.9,2022-12-24 10:00:00,52
3.7, 3.2, 3.7, 100.0, 100.0, 49.5, 1.9, 57.0, 3.1,2022-12-24 11:00:00,52
3.2, 3.1, 3.2, 100.0, 100.0, 52.3, 3.1, 57.0, 1.4,2022-12-24 12:00:00,52
3.1, 3.1, 3.1, 100.0, 100.0, 52.2, 1.4, 56.0, 0.1,2022-12-24 13:00:00,52
3.1, 2.2, 3.1, 100.0, 100.0, 50.5, 0.1, 56.0, 0.0,2022-12-24 14:00:00,52
2.2, 1.7, 2.2, 100.0, 100.0, 48.1, 0.0, 55.0, 0.0,2022-12-24 15:00:00,52
None, 1.3, None, None, 100.0, None, None, None, 0.0,2022-12-24 16:00:00,52
None, 1.0, None, None, 100.0, None, None, None, 0.0,2022-12-24 17:00:00,52
1.0, 1.0, 1.0, 100.0, 100.0, 43.4, 0.0, 55.0, 0.0,2022-12-24 18:00:00,52
1.0, 0.7, 1.0, 100.0, 100.0, 40.9, 0.0, 55.0, 0.0,2022-12-24 19:00:00,52
0.7, 0.6, 0.7, 100.0, 96.0, 38.9, 0.0, 55.0, 0.0,2022-12-24 20:00:00,52
None, 0.6, None, None, 98.0, None, None, None, 0.0,2022-12-24 21:00:00,52
0.6, 0.2, 0.3, 98.0, 99.0, 36.1, 0.0, 55.0, 0.0,2022-12-24 22:00:00,52
0.2, None, 0.1, 99.0, None, 34.4, 0.0, 55.0, None,2022-12-24 23:00:00,52
0.7, 0.9, 0.1, 96.0, 95.0, 32.4, 0.0, 55.0, 0.0,2022-12-25 00:00:00,52
0.9, 1.3, 0.2, 95.0, 89.0, 30.8, 0.0, 55.0, 0.0,2022-12-25 01:00:00,52
1.3, 2.2, -0.3, 89.0, 72.0, 28.5, 0.0, 55.0, 0.0,2022-12-25 02:00:00,52
2.2, 3.1, -2.3, 72.0, 76.0, 26.6, 0.0, 55.0, 0.0,2022-12-25 03:00:00,52
None, 4.0, None, None, 76.0, None, None, None, 0.0,2022-12-25 04:00:00,52
None, 2.9, None, None, 91.0, None, None, None, 0.1,2022-12-25 05:00:00,52
None, 2.5, None, None, 96.0, None, None, None, 1.8,2022-12-25 06:00:00,52
None, 3.2, None, None, 91.0, None, None, None, 1.9,2022-12-25 07:00:00,52
3.2, 4.0, 1.9, 91.0, 92.0, 15.5, 1.9, 54.0, 0.1,2022-12-25 08:00:00,52
4.0, 5.9, 2.8, 92.0, 90.0, 12.6, 0.1, 54.0, 0.1,2022-12-25 09:00:00,52
None, 6.8, None, None, 90.0, None, None, None, 0.0,2022-12-25 10:00:00,52
6.8, 7.1, 5.3, 90.0, 92.0, 8.6, 0.0, 53.0, 0.0,2022-12-25 11:00:00,52
7.1, 7.1, 5.9, 92.0, 92.0, 5.5, 0.0, 52.0, 0.0,2022-12-25 12:00:00,52
7.1, 6.8, 5.9, 92.0, 94.0, 4.1, 0.0, 52.0, 0.1,2022-12-25 13:00:00,52
6.8, 6.2, 5.9, 94.0, 95.0, 4.1, 0.1, 52.0, 0.6,2022-12-25 14:00:00,52
None, 5.7, None, None, 98.0, None, None, None, 1.4,2022-12-25 15:00:00,52
5.7, 5.1, 5.4, 98.0, 100.0, 6.1, 1.4, 51.0, 8.2,2022-12-25 16:00:00,52
5.1, 4.6, 5.1, 100.0, 100.0, 14.3, 8.2, 49.0, 5.1,2022-12-25 17:00:00,52
4.6, 4.3, 4.6, 100.0, 100.0, 19.4, 5.1, 48.0, 1.8,2022-12-25 18:00:00,52
4.3, 4.5, 4.3, 100.0, 100.0, 21.2, 1.8, 48.0, 0.1,2022-12-25 19:00:00,52
4.5, 4.1, 4.5, 100.0, 100.0, 21.3, 0.1, 47.0, 0.0,2022-12-25 20:00:00,52
4.1, 4.4, 4.1, 100.0, 100.0, 21.3, 0.0, 47.0, 0.1,2022-12-25 21:00:00,52
4.4, 5.1, 4.4, 100.0, 98.0, 21.4, 0.1, 47.0, 0.0,2022-12-25 22:00:00,52
5.1, None, 4.8, 98.0, None, 21.4, 0.0, 47.0, None,2022-12-25 23:00:00,52
5.0, 5.8, 4.3, 95.0, 91.0, 21.5, 0.1, 47.0, 0.0,2022-12-26 00:00:00,52
5.8, 4.8, 4.4, 91.0, 92.0, 21.5, 0.0, 47.0, 3.0,2022-12-26 01:00:00,52
4.8, 4.7, 3.6, 92.0, 92.0, 24.5, 3.0, 46.0, 7.2,2022-12-26 02:00:00,52
4.7, 3.3, 3.5, 92.0, 99.0, 31.7, 7.2, 45.0, 4.5,2022-12-26 03:00:00,52
3.3, 2.6, 3.2, 99.0, 100.0, 36.2, 4.5, 45.0, 3.3,2022-12-26 04:00:00,52
2.6, 1.6, 2.6, 100.0, 100.0, 39.5, 3.3, 45.0, 1.2,2022-12-26 05:00:00,52
1.6, 1.5, 1.6, 100.0, 100.0, 40.6, 1.2, 44.0, 1.1,2022-12-26 06:00:00,52
None, 1.1, None, None, 100.0, None, None, None, 0.9,2022-12-26 07:00:00,52
1.1, 0.6, 1.1, 100.0, 100.0, None, 0.9, 44.0, 0.1,2022-12-26 08:00:00,52
0.6, 0.7, 0.6, 100.0, 100.0, 38.9, 0.1, 44.0, 0.0,2022-12-26 09:00:00,52
0.7, 0.5, 0.7, 100.0, 100.0, 38.8, 0.0, 44.0, 0.1,2022-12-26 10:00:00,52
None, 0.8, None, None, 100.0, None, None, None, 0.0,2022-12-26 11:00:00,52
0.8, 1.2, 0.8, 100.0, 100.0, 38.9, 0.0, 44.0, 0.0,2022-12-26 12:00:00,52
1.2, 0.9, 1.2, 100.0, 100.0, 38.9, 0.0, 44.0, 0.0,2022-12-26 13:00:00,52
0.9, 0.5, 0.9, 100.0, 98.0, 38.8, 0.0, 44.0, 0.0,2022-12-26 14:00:00,52
0.5, 0.5, 0.2, 98.0, 94.0, 38.2, 0.0, 44.0, 0.0,2022-12-26 15:00:00,52
0.5, 0.6, -0.4, 94.0, 92.0, 36.8, 0.0, 44.0, 0.0,2022-12-26 16:00:00,52
0.6, 0.3, -0.5, 92.0, 96.0, 28.6, 0.0, 44.0, 0.0,2022-12-26 17:00:00,52
0.3, 0.3, -0.3, 96.0, 97.0, 23.5, 0.0, 44.0, 0.0,2022-12-26 18:00:00,52
0.3, 0.4, -0.1, 97.0, 94.0, 21.7, 0.0, 44.0, 0.0,2022-12-26 19:00:00,52
0.4, 0.3, -0.5, 94.0, 95.0, 21.6, 0.0, 44.0, 0.1,2022-12-26 20:00:00,52
0.3, 0.3, -0.4, 95.0, 96.0, 21.7, 0.1, 44.0, 0.0,2022-12-26 21:00:00,52
0.3, -0.1, -0.3, 96.0, 97.0, 21.6, 0.0, 44.0, 0.0,2022-12-26 22:00:00,52
-0.1, None, -0.5, 97.0, None, 21.6, 0.0, 44.0, None,2022-12-26 23:00:00,52
-0.4, -0.6, -0.8, 97.0, 98.0, 21.5, 0.0, 43.0, 0.0,2022-12-27 00:00:00,52
-0.6, -0.6, -0.9, 98.0, 96.0, 21.5, 0.0, 45.0, 0.0,2022-12-27 01:00:00,52
-0.6, None, -1.2, 96.0, None, 18.5, 0.0, 49.0, None,2022-12-27 02:00:00,52
None, 1.9, None, None, 96.0, None, None, None, 0.0,2022-12-27 03:00:00,52
1.9, 2.1, 1.3, 96.0, 95.0, 6.8, 0.0, 51.0, 0.3,2022-12-27 04:00:00,52
2.1, 0.5, 1.4, 95.0, 100.0, 3.8, 0.3, 51.0, 0.4,2022-12-27 05:00:00,52
0.5, 0.8, 0.5, 100.0, 100.0, 3.0, 0.4, 50.0, 0.5,2022-12-27 06:00:00,52
0.8, 1.1, 0.8, 100.0, 100.0, 2.4, 0.5, 50.0, 0.3,2022-12-27 07:00:00,52
1.1, 1.0, 1.1, 100.0, 100.0, 1.8, 0.3, 49.0, 0.6,2022-12-27 08:00:00,52
1.0, 1.6, 1.0, 100.0, 100.0, 2.3, 0.6, 49.0, 1.3,2022-12-27 09:00:00,52
1.6, 2.6, 1.6, 100.0, 100.0, 3.6, 1.3, 49.0, 2.1,2022-12-27 10:00:00,52
2.6, 2.0, 2.6, 100.0, 100.0, 5.6, 2.1, 48.0, 2.9,2022-12-27 11:00:00,52
2.0, 0.4, 2.0, 100.0, 100.0, 8.5, 2.9, 48.0, 1.8,2022-12-27 12:00:00,52
0.4, 0.0, 0.4, 100.0, 100.0, 10.3, 1.8, 48.0, 0.4,2022-12-27 13:00:00,52
0.0, -0.5, 0.0, 100.0, 100.0, 10.7, 0.4, 48.0, 0.2,2022-12-27 14:00:00,52
-0.5, -0.8, -0.5, 100.0, 100.0, 10.9, 0.2, 48.0, 0.0,2022-12-27 15:00:00,52
-0.8, -1.1, -0.8, 100.0, 100.0, 10.9, 0.0, 47.0, 0.0,2022-12-27 16:00:00,52
-1.1, -1.5, -1.1, 100.0, 100.0, 10.9, 0.0, 47.0, 0.0,2022-12-27 17:00:00,52
-1.5, -1.9, -1.5, 100.0, 100.0, 10.9, 0.0, 47.0, 0.0,2022-12-27 18:00:00,52
-1.9, -2.0, -1.9, 100.0, 100.0, 10.9, 0.0, 48.0, 0.0,2022-12-27 19:00:00,52
-2.0, -2.1, -2.0, 100.0, 100.0, 10.9, 0.0, 48.0, 0.0,2022-12-27 20:00:00,52
-2.1, -2.0, -2.1, 100.0, 100.0, 10.8, 0.0, 48.0, 0.0,2022-12-27 21:00:00,52
-2.0, -2.0, -2.0, 100.0, 100.0, 10.8, 0.0, 48.0, 0.0,2022-12-27 22:00:00,52
-2.0, None, -2.0, 100.0, None, 10.8, 0.0, 48.0, None,2022-12-27 23:00:00,52
-2.1, -2.0, -2.1, 100.0, 100.0, 10.8, 0.0, 49.0, 0.0,2022-12-28 00:00:00,52
-2.0, -2.1, -2.0, 100.0, 100.0, 10.8, 0.0, 49.0, 0.0,2022-12-28 01:00:00,52
-2.1, -2.1, -2.1, 100.0, 100.0, 10.8, 0.0, 49.0, 0.0,2022-12-28 02:00:00,52
-2.1, -2.5, -2.1, 100.0, 100.0, 10.8, 0.0, 49.0, 0.0,2022-12-28 03:00:00,52
-2.5, -2.9, -2.5, 100.0, 100.0, 10.8, 0.0, 50.0, 0.0,2022-12-28 04:00:00,52
-2.9, -3.1, -2.9, 100.0, 100.0, 10.5, 0.0, 50.0, 0.0,2022-12-28 05:00:00,52
-3.1, -3.3, -3.1, 100.0, 100.0, 10.1, 0.0, 50.0, 0.0,2022-12-28 06:00:00,52
-3.3, -3.4, -3.3, 100.0, 100.0, 9.6, 0.0, 50.0, 0.0,2022-12-28 07:00:00,52
-3.4, -3.4, -3.4, 100.0, 100.0, 9.3, 0.0, 50.0, 0.0,2022-12-28 08:00:00,52
-3.4, -3.4, -3.4, 100.0, 100.0, 8.7, 0.0, 50.0, 0.0,2022-12-28 09:00:00,52
-3.4, -3.5, -3.4, 100.0, 100.0, 7.4, 0.0, 49.0, 0.0,2022-12-28 10:00:00,52
-3.5, -3.3, -3.5, 100.0, 100.0, 5.3, 0.0, 49.0, 0.0,2022-12-28 11:00:00,52
-3.3, -3.1, -3.3, 100.0, 100.0, 2.4, 0.0, 49.0, 0.0,2022-12-28 12:00:00,52
-3.1, -2.9, -3.1, 100.0, 100.0, 0.6, 0.0, 49.0, 0.0,2022-12-28 13:00:00,52
-2.9, -3.3, -2.9, 100.0, 100.0, 0.2, 0.0, 49.0, 0.0,2022-12-28 14:00:00,52
None, -4.0, None, None, 100.0, None, None, None, 0.0,2022-12-28 15:00:00,52
None, -5.0, None, None, 100.0, None, None, None, 0.0,2022-12-28 16:00:00,52
None, -6.0, None, None, 100.0, None, None, None, 0.0,2022-12-28 17:00:00,52
None, -4.8, None, None, 98.0, None, None, None, 0.0,2022-12-28 18:00:00,52
-4.8, -3.6, -5.1, 98.0, 99.0, 0.0, 0.0, 49.0, 0.0,2022-12-28 19:00:00,52
-3.6, -2.2, -3.7, 99.0, 98.0, 0.0, 0.0, 49.0, 0.0,2022-12-28 20:00:00,52
-2.2, -1.9, -2.5, 98.0, 99.0, 0.0, 0.0, 49.0, 0.0,2022-12-28 21:00:00,52
-1.9, -1.4, -2.0, 99.0, 96.0, 0.0, 0.0, 49.0, 0.0,2022-12-28 22:00:00,52
-1.2, -1.1, -2.2, 93.0, 93.0, 0.0, 0.0, 49.0, 0.0,2022-12-29 00:00:00,52
-1.1, -0.6, -2.1, 93.0, 91.0, 0.0, 0.0, 49.0, 0.0,2022-12-29 01:00:00,52
-0.6, None, -1.9, 91.0, None, 0.0, 0.0, 49.0, None,2022-12-29 02:00:00,52
None, -0.6, None, None, 89.0, None, None, None, 0.0,2022-12-29 03:00:00,52
-0.6, 0.2, -2.2, 89.0, 87.0, 0.0, 0.0, 49.0, 0.0,2022-12-29 04:00:00,52
0.2, -0.5, -1.7, 87.0, 90.0, 0.0, 0.0, 49.0, 0.0,2022-12-29 05:00:00,52
-0.5, -0.3, -1.9, 90.0, 88.0, 0.0, 0.0, 49.0, 0.0,2022-12-29 06:00:00,52
-0.3, -0.5, -2.0, 88.0, 92.0, 0.0, 0.0, 49.0, 0.0,2022-12-29 07:00:00,52
-0.5, -0.9, -1.6, 92.0, 96.0, 0.0, 0.0, 49.0, 0.0,2022-12-29 08:00:00,52
None, 0.0, None, None, 90.0, None, None, None, 0.0,2022-12-29 09:00:00,52
0.0, 0.3, -1.4, 90.0, 89.0, 0.0, 0.0, 50.0, 0.0,2022-12-29 10:00:00,52
0.3, 0.6, -1.3, 89.0, 89.0, 0.0, 0.0, 51.0, 0.0,2022-12-29 11:00:00,52
0.6, 0.7, -1.0, 89.0, 90.0, 0.0, 0.0, 51.0, 0.0,2022-12-29 12:00:00,52
0.7, 0.6, -0.8, 90.0, 93.0, 0.0, 0.0, 51.0, 0.0,2022-12-29 13:00:00,52
0.6, 0.9, -0.4, 93.0, 92.0, 0.0, 0.0, 51.0, 0.0,2022-12-29 14:00:00,52
0.9, 0.6, -0.3, 92.0, 96.0, 0.0, 0.0, 51.0, 0.0,2022-12-29 15:00:00,52
0.6, 0.8, 0.0, 96.0, 95.0, 0.0, 0.0, 51.0, 0.5,2022-12-29 16:00:00,52
0.8, 0.7, 0.1, 95.0, 97.0, 0.5, 0.5, 51.0, 0.3,2022-12-29 17:00:00,52
0.7, 0.8, 0.3, 97.0, 97.0, 0.8, 0.3, 51.0, 0.2,2022-12-29 18:00:00,52
0.8, 0.8, 0.4, 97.0, 94.0, 1.0, 0.2, 51.0, 0.3,2022-12-29 19:00:00,52
0.8, 0.8, -0.1, 94.0, 93.0, 1.3, 0.3, 51.0, 0.2,2022-12-29 20:00:00,52
0.8, 0.9, -0.2, 93.0, 89.0, 1.5, 0.2, 51.0, 0.1,2022-12-29 21:00:00,52
0.9, -0.4, -0.7, 89.0, 92.0, 1.6, 0.1, 51.0, 0.1,2022-12-29 22:00:00,52
-0.4, None, -1.5, 92.0, None, 1.7, 0.1, 51.0, None,2022-12-29 23:00:00,52
0.9, 1.4, -0.6, 90.0, 87.0, 1.7, 0.0, 51.0, 0.0,2022-12-30 00:00:00,52
1.4, 1.6, -0.5, 87.0, 84.0, 1.7, 0.0, 52.0, 0.2,2022-12-30 01:00:00,52
