pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,snwfl_amt_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, None, 4.636, None, None, None, None, 0.0, None, None, 4.6, 3.7, 0.1, None, None, 5.4, None, None,2022-02-05 00:00:00, 69.0, 69.49, None,6
None, None, 4.058, None, None, None, None, 2.0, None, None, 4.1, 3.7, 0.0, None, None, 5.4, None, None,2022-02-05 01:00:00, 71.0, 70.55, None,6
None, None, 4.125, None, None, None, None, 0.0, None, None, 4.1, 3.7, 0.0, None, None, 5.5, None, None,2022-02-05 02:00:00, 70.0, 70.21, None,6
23.3, None, 4.309, None, None, None, None, 0.0, None, None, 4.3, 3.7, 0.0, None, None, 5.5, None, None,2022-02-05 03:00:00, 70.0, 70.02, None,6
22.6, None, 4.659, None, None, None, None, 1.0, None, None, 4.7, 3.7, 0.0, None, None, 5.5, None, None,2022-02-05 04:00:00, 70.0, 70.41, None,6
21.3, None, 3.942, None, None, None, None, 0.0, None, None, 3.9, 3.7, 0.0, None, None, 5.5, None, None,2022-02-05 05:00:00, 70.0, 70.07, None,6
20.5, None, 3.071, None, None, None, None, 0.0, None, None, 3.1, 2.9, 0.0, None, None, 5.5, None, None,2022-02-05 06:00:00, 70.0, 70.15, None,6
None, None, 2.817, None, None, None, None, 0.0, None, None, 2.8, 2.7, -0.1, None, None, 3.1, None, None,2022-02-05 07:00:00, 70.0, 70.06, None,6
None, None, 2.869, None, None, None, None, 0.0, None, None, 2.9, 2.7, 0.0, None, None, 3.4, None, None,2022-02-05 08:00:00, 70.0, 69.91, None,6
None, None, 2.586, None, None, None, None, 0.0, None, None, 2.6, 2.6, 0.4, None, None, 3.4, None, None,2022-02-05 09:00:00, 70.0, 69.89, None,6
None, None, 2.856, None, None, None, None, 0.0, None, None, 2.9, 2.5, 0.1, None, None, 3.4, None, None,2022-02-05 10:00:00, 70.0, 69.87, None,6
None, None, 3.249, None, None, None, None, 0.0, None, None, 3.2, 2.5, 0.2, None, None, 3.4, None, None,2022-02-05 11:00:00, 70.0, 69.82, None,6
None, None, 3.442, None, None, None, None, -1.0, None, None, 3.4, 2.5, 0.3, None, None, 3.7, None, None,2022-02-05 12:00:00, 69.0, 69.26, None,6
None, None, 3.372, None, None, None, None, 0.0, None, None, 3.4, 2.5, 0.2, None, None, 3.7, None, None,2022-02-05 13:00:00, 69.0, 69.28, None,6
None, None, 3.588, None, None, None, None, 0.0, None, None, 3.6, 2.5, 0.2, None, None, 3.7, None, None,2022-02-05 14:00:00, 69.0, 69.39, None,6
None, None, 3.112, None, None, None, None, 0.0, None, None, 3.1, 2.5, -0.1, None, None, 3.7, None, None,2022-02-05 15:00:00, 69.0, 69.35, None,6
None, None, 2.869, None, None, None, None, 0.0, None, None, 2.9, 2.5, -0.4, None, None, 3.7, None, None,2022-02-05 16:00:00, 69.0, 69.21, None,6
None, None, 3.398, None, None, None, None, 0.0, None, None, 3.4, 2.5, -0.2, None, None, 3.7, None, None,2022-02-05 17:00:00, 69.0, 69.25, None,6
None, None, 6.17, None, None, None, None, 0.0, None, None, 6.2, 2.5, 0.5, None, None, 7.0, None, None,2022-02-05 18:00:00, 69.0, 69.18, None,6
None, None, 3.939, None, None, None, None, -2.0, None, None, 3.9, 4.1, 0.6, None, None, 7.7, None, None,2022-02-05 19:00:00, 67.0, 67.49, None,6
None, None, 2.74, None, None, None, None, 2.0, None, None, 2.7, 2.8, 1.4, None, None, 7.7, None, None,2022-02-05 20:00:00, 69.0, 68.54, None,6
None, None, 2.69, None, None, None, None, 0.0, None, None, 2.7, 2.3, 3.2, None, None, 7.7, None, None,2022-02-05 21:00:00, 69.0, 68.5, None,6
None, None, 2.413, None, None, None, None, 0.0, None, None, 2.4, 2.2, 0.0, None, None, 7.7, None, None,2022-02-05 22:00:00, 68.0, 68.04, None,6
