AirTemp,ONE_DAY_PRECIPITATION,time,MIN_TEMP,MAX_TEMP,week_of_year
None, None,2023-03-26 00:00:00, 0.3, 7.9,13
None, None,2023-03-27 00:00:00, 2.6, 2.5,13
None, None,2023-03-28 00:00:00, 0.1, 10.7,13
None, None,2023-03-29 00:00:00, 0.1, 13.9,13
None, None,2023-03-30 00:00:00, 0.9, 13.0,13
None, None,2023-03-31 00:00:00, 2.2, 8.0,13
5.9, None,2023-03-31 07:15:00, None, None,13
5.9, None,2023-03-31 07:30:00, None, None,13
5.9, None,2023-03-31 07:45:00, None, None,13
5.9, None,2023-03-31 08:15:00, None, None,13
5.9, None,2023-03-31 08:30:00, None, None,13
5.9, None,2023-03-31 08:45:00, None, None,13
5.9, None,2023-03-31 09:15:00, None, None,13
5.9, None,2023-03-31 09:30:00, None, None,13
5.9, None,2023-03-31 09:45:00, None, None,13
6.2, None,2023-03-31 10:15:00, None, None,13
6.5, None,2023-03-31 10:30:00, None, None,13
6.8, None,2023-03-31 10:45:00, None, None,13
7.2, None,2023-03-31 11:15:00, None, None,13
7.4, None,2023-03-31 11:30:00, None, None,13
7.6, None,2023-03-31 11:45:00, None, None,13
7.9, None,2023-03-31 12:15:00, None, None,13
7.9, None,2023-03-31 12:30:00, None, None,13
8.0, None,2023-03-31 12:45:00, None, None,13
8.0, None,2023-03-31 13:15:00, None, None,13
8.0, None,2023-03-31 13:30:00, None, None,13
8.0, None,2023-03-31 13:45:00, None, None,13
7.9, None,2023-03-31 14:15:00, None, None,13
7.8, None,2023-03-31 14:30:00, None, None,13
7.7, None,2023-03-31 14:45:00, None, None,13
7.4, None,2023-03-31 15:15:00, None, None,13
7.2, None,2023-03-31 15:30:00, None, None,13
7.0, None,2023-03-31 15:45:00, None, None,13
6.9, None,2023-03-31 16:15:00, None, None,13
6.9, None,2023-03-31 16:30:00, None, None,13
6.9, None,2023-03-31 16:45:00, None, None,13
6.7, None,2023-03-31 17:15:00, None, None,13
6.5, None,2023-03-31 17:30:00, None, None,13
6.3, None,2023-03-31 17:45:00, None, None,13
6.1, None,2023-03-31 18:15:00, None, None,13
6.0, None,2023-03-31 18:30:00, None, None,13
5.9, None,2023-03-31 18:45:00, None, None,13
5.5, None,2023-03-31 19:15:00, None, None,13
5.3, None,2023-03-31 19:30:00, None, None,13
5.1, None,2023-03-31 19:45:00, None, None,13
4.5, None,2023-03-31 20:15:00, None, None,13
