AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
11.8, 0.0, 10.3, 729.5,2023-05-14 00:00:00, 126.0, 20.6,20
11.7, None, None, 647.2,2023-05-14 00:15:00, 126.0, None,20
11.1, None, None, 729.1,2023-05-14 00:30:00, 126.0, None,20
11.2, None, None, 728.9,2023-05-14 00:45:00, 126.0, None,20
11.5, None, None, 728.5,2023-05-14 01:00:00, 126.0, None,20
11.1, None, None, 646.4,2023-05-14 01:15:00, 126.0, None,20
11.3, None, None, 646.1,2023-05-14 01:30:00, 126.0, None,20
11.3, None, None, 645.8,2023-05-14 01:45:00, 126.0, None,20
11.3, None, None, 727.8,2023-05-14 02:00:00, 126.0, None,20
11.1, None, None, 727.1,2023-05-14 02:15:00, 126.0, None,20
11.1, None, None, 644.9,2023-05-14 02:30:00, 126.0, None,20
11.1, None, None, 726.6,2023-05-14 02:45:00, 126.0, None,20
10.9, None, None, 645.0,2023-05-14 03:00:00, 126.0, None,20
10.5, None, None, 726.2,2023-05-14 03:15:00, 125.0, None,20
11.1, None, None, 644.2,2023-05-14 03:30:00, 126.0, None,20
10.3, None, None, 725.4,2023-05-14 03:45:00, 125.0, None,20
11.1, None, None, 643.9,2023-05-14 04:00:00, 126.0, None,20
11.2, None, None, 724.9,2023-05-14 04:15:00, 125.0, None,20
10.3, None, None, 724.7,2023-05-14 04:30:00, 125.0, None,20
10.7, None, None, 724.9,2023-05-14 04:45:00, 126.0, None,20
11.0, None, None, 643.4,2023-05-14 05:00:00, 125.0, None,20
12.3, None, None, 642.2,2023-05-14 05:15:00, 125.0, None,20
12.7, None, None, 722.2,2023-05-14 05:30:00, 125.0, None,20
11.8, None, None, 641.2,2023-05-14 05:45:00, 125.0, None,20
12.2, None, None, 721.7,2023-05-14 06:00:00, 125.0, None,20
12.3, None, None, 721.6,2023-05-14 06:15:00, 125.0, None,20
12.8, None, None, 721.2,2023-05-14 06:30:00, 125.0, None,20
13.2, None, None, 721.0,2023-05-14 06:45:00, 124.0, None,20
13.8, None, None, 639.9,2023-05-14 07:00:00, 124.0, None,20
13.3, None, None, 639.6,2023-05-14 07:15:00, 125.0, None,20
13.6, None, None, 639.4,2023-05-14 07:30:00, 125.0, None,20
14.0, None, None, 719.3,2023-05-14 07:45:00, 124.0, None,20
14.4, None, None, 638.6,2023-05-14 08:00:00, 124.0, None,20
14.5, None, None, 638.4,2023-05-14 08:15:00, 123.0, None,20
14.9, None, None, 718.2,2023-05-14 08:30:00, 124.0, None,20
15.3, None, None, 637.7,2023-05-14 08:45:00, 124.0, None,20
15.3, None, None, 717.5,2023-05-14 09:00:00, 125.0, None,20
14.9, None, None, 637.1,2023-05-14 09:15:00, 124.0, None,20
15.3, None, None, 637.0,2023-05-14 09:30:00, 124.0, None,20
15.5, None, None, 716.9,2023-05-14 09:45:00, 123.0, None,20
16.6, None, None, 636.5,2023-05-14 10:00:00, 123.0, None,20
17.6, None, None, 716.3,2023-05-14 10:15:00, 123.0, None,20
16.6, None, None, 716.2,2023-05-14 10:30:00, 123.0, None,20
17.3, None, None, 636.1,2023-05-14 10:45:00, 123.0, None,20
16.0, None, None, 636.0,2023-05-14 11:00:00, 123.0, None,20
17.3, None, None, 635.8,2023-05-14 11:15:00, 123.0, None,20
16.5, None, None, 635.7,2023-05-14 11:30:00, 123.0, None,20
16.7, None, None, 715.3,2023-05-14 11:45:00, 122.0, None,20
16.5, None, None, 635.5,2023-05-14 12:00:00, 122.0, None,20
18.1, None, None, 635.4,2023-05-14 12:15:00, 122.0, None,20
17.9, None, None, 714.7,2023-05-14 12:30:00, 122.0, None,20
18.2, None, None, 714.6,2023-05-14 12:45:00, 121.0, None,20
18.2, None, None, 634.8,2023-05-14 13:00:00, 120.0, None,20
18.6, None, None, 634.4,2023-05-14 13:15:00, 121.0, None,20
19.2, None, None, 634.1,2023-05-14 13:30:00, 120.0, None,20
19.3, None, None, 633.9,2023-05-14 13:45:00, 120.0, None,20
18.7, None, None, 713.2,2023-05-14 14:00:00, 121.0, None,20
19.5, None, None, 712.8,2023-05-14 14:15:00, 120.0, None,20
20.6, None, None, 633.4,2023-05-14 14:30:00, 119.0, None,20
19.4, None, None, 633.0,2023-05-14 14:45:00, 120.0, None,20
19.9, None, None, 632.4,2023-05-14 15:00:00, 120.0, None,20
19.9, None, None, 631.7,2023-05-14 15:15:00, 119.0, None,20
