wind_direction,air_temperature,wind_gust_speed,tendency_amount,wind_speed,mean_sea_level,dew_point,snow_amount,air_temperature_yesterday_high,relative_humidity,time,air_temperature_yesterday_low,total_precipitation,week_of_year
337.5, 6.9, None, -0.27, 5.0, 100.3, 2.4, None, None, 73.0,2023-09-17 00:00:00, None, None,38
112.5, 6.1, None, -0.31, 1.0, 100.2, 3.0, None, None, 80.0,2023-09-17 01:00:00, None, None,38
45.0, 5.2, None, -0.32, 3.0, 100.1, 1.8, None, None, 78.0,2023-09-17 02:00:00, None, None,38
225.0, 7.9, None, -0.29, 11.0, 100.0, 2.4, None, None, 68.0,2023-09-17 03:00:00, None, None,38
202.5, 10.4, None, -0.3, 12.0, 99.8, 0.7, None, None, 51.0,2023-09-17 04:00:00, None, None,38
292.5, 8.8, None, -0.31, 3.0, 99.7, 1.8, None, None, 61.0,2023-09-17 05:00:00, None, None,38
67.5, 7.3, None, -0.22, 4.0, 99.7, 3.0, None, None, 74.0,2023-09-17 06:00:00, None, None,38
315.0, 6.9, None, -0.23, 5.0, 99.6, 3.1, None, None, 76.0,2023-09-17 07:00:00, None, None,38
67.5, 8.3, None, -0.18, 2.0, 99.5, 2.5, None, None, 67.0,2023-09-17 08:00:00, None, None,38
135.0, 8.3, None, -0.21, 5.0, 99.5, 3.1, None, None, 70.0,2023-09-17 09:00:00, None, None,38
112.5, 10.3, None, -0.19, 5.0, 99.4, 2.9, None, None, 60.0,2023-09-17 10:00:00, None, None,38
180.0, 13.3, 33.0, -0.11, 20.0, 99.4, 1.9, None, None, 46.0,2023-09-17 11:00:00, None, None,38
157.5, 12.3, 43.0, -0.09, 19.0, 99.4, 2.7, None, None, 52.0,2023-09-17 12:00:00, None, None,38
180.0, 13.8, 45.0, -0.03, 23.0, 99.4, 1.5, None, None, 43.0,2023-09-17 13:00:00, None, None,38
180.0, 14.2, 32.0, 0.01, 14.0, 99.4, 2.7, None, None, 46.0,2023-09-17 14:00:00, None, None,38
180.0, 12.3, None, 0.08, 22.0, 99.5, 3.5, None, None, 55.0,2023-09-17 15:00:00, None, None,38
202.5, 12.3, 27.0, 0.14, 11.0, 99.5, 2.6, None, 12.0, 51.0,2023-09-17 16:00:00, 1.8, 0.0,38
202.5, 12.5, 30.0, 0.12, 8.0, 99.6, 1.1, None, None, 46.0,2023-09-17 17:00:00, None, None,38
180.0, 11.4, None, 0.12, 10.0, 99.6, 1.3, None, None, 50.0,2023-09-17 18:00:00, None, None,38
202.5, 10.7, None, 0.11, 11.0, 99.7, 1.9, None, None, 54.0,2023-09-17 19:00:00, None, None,38
202.5, 10.0, None, 0.11, 8.0, 99.7, 2.3, None, None, 58.0,2023-09-17 20:00:00, None, None,38
225.0, 9.6, None, 0.1, 9.0, 99.7, 2.2, None, None, 60.0,2023-09-17 21:00:00, None, None,38
225.0, 9.2, None, 0.14, 13.0, 99.8, 2.0, None, None, 61.0,2023-09-17 22:00:00, None, None,38
225.0, 8.8, None, 0.14, 8.0, 99.8, 2.2, None, None, 63.0,2023-09-17 23:00:00, None, None,38
202.5, 7.3, None, 0.17, 8.0, 99.9, 3.5, None, None, 77.0,2023-09-18 00:00:00, None, None,38
202.5, 6.7, None, 0.18, 10.0, 100.0, 3.5, None, None, 80.0,2023-09-18 01:00:00, None, None,38
225.0, 6.2, None, 0.23, 5.0, 100.1, 3.3, None, None, 82.0,2023-09-18 02:00:00, None, None,38
225.0, 5.7, None, 0.22, 3.0, 100.2, 3.2, None, None, 84.0,2023-09-18 03:00:00, None, None,38
247.5, 5.3, None, 0.19, 2.0, 100.2, 3.7, None, None, 90.0,2023-09-18 04:00:00, None, None,38
225.0, 4.8, None, 0.14, 4.0, 100.3, 4.8, None, None, 100.0,2023-09-18 05:00:00, None, None,38
247.5, 5.0, None, 0.14, 2.0, 100.3, 5.0, None, None, 100.0,2023-09-18 06:00:00, None, None,38
225.0, 5.2, None, 0.16, 6.0, 100.4, 5.2, None, None, 100.0,2023-09-18 07:00:00, None, None,38
202.5, 5.1, None, 0.19, 4.0, 100.5, 5.1, None, None, 100.0,2023-09-18 08:00:00, None, None,38
