station_observations
AirTemp, ONE_DAY_PRECIPITATION, time, MIN_TEMP, MAX_TEMP
None, 0.4, 2016-01-01 00:00:00, -15.5, -11.5
None, 0.0, 2016-01-02 00:00:00, -16.8, -13.6
None, 0.0, 2016-01-03 00:00:00, -16.7, -12.8
None, 0.4, 2016-01-04 00:00:00, -16.0, -8.9
None, 1.3, 2016-01-05 00:00:00, -8.9, -5.2
None, 0.0, 2016-01-06 00:00:00, -5.7, -2.6
None, 0.4, 2016-01-07 00:00:00, -5.0, -1.2
None, 0.0, 2016-01-08 00:00:00, -6.3, -1.2
None, 0.0, 2016-01-09 00:00:00, -7.5, -3.7
None, 0.0, 2016-01-10 00:00:00, -9.1, -5.3
None, 1.3, 2016-01-11 00:00:00, -9.6, -6.0
None, 1.9, 2016-01-12 00:00:00, -6.8, -4.5
None, 3.2, 2016-01-13 00:00:00, -4.6, -3.0
None, 3.2, 2016-01-14 00:00:00, -3.0, -0.3
None, 0.5, 2016-01-15 00:00:00, -3.6, -1.5
None, 1.3, 2016-01-16 00:00:00, -3.5, -2.2
None, 2.1, 2016-01-17 00:00:00, -3.1, -1.7
None, 1.1, 2016-01-18 00:00:00, -2.9, -0.9
None, 0.4, 2016-01-19 00:00:00, -1.5, 0.2
None, 1.4, 2016-01-20 00:00:00, -2.8, 0.8
None, 16.4, 2016-01-21 00:00:00, -2.4, -0.8
None, 14.3, 2016-01-22 00:00:00, -0.8, -0.4
None, 0.8, 2016-01-23 00:00:00, -0.5, -0.1
None, 0.7, 2016-01-24 00:00:00, -0.8, 0.8
None, 0.3, 2016-01-25 00:00:00, -2.0, -0.4
None, 5.9, 2016-01-26 00:00:00, -2.1, -1.4
None, 4.2, 2016-01-27 00:00:00, -2.7, -0.3
None, 19.0, 2016-01-28 00:00:00, -0.4, 0.1
None, 1.0, 2016-01-29 00:00:00, -0.9, 0.9
None, 1.1, 2016-01-30 00:00:00, -1.1, 0.3
None, 0.4, 2016-01-31 00:00:00, -3.5, -1.1
None, 0.1, 2016-02-01 00:00:00, -4.9, -2.1
None, 0.6, 2016-02-02 00:00:00, -6.6, -1.5
None, 0.8, 2016-02-03 00:00:00, -8.0, -4.6
None, 0.0, 2016-02-04 00:00:00, -5.4, -2.9
None, 8.2, 2016-02-05 00:00:00, -3.7, -0.9
None, 12.4, 2016-02-06 00:00:00, -2.0, -0.2
None, 1.1, 2016-02-07 00:00:00, -4.5, -2.0
None, 0.0, 2016-02-08 00:00:00, -3.2, -0.8
None, 0.0, 2016-02-09 00:00:00, -4.0, 0.2
None, 1.2, 2016-02-10 00:00:00, -3.9, -0.9
None, 0.1, 2016-02-11 00:00:00, -1.2, 0.0
None, 7.4, 2016-02-12 00:00:00, -0.3, 0.5
None, 3.9, 2016-02-13 00:00:00, -0.3, 0.6
None, 9.3, 2016-02-14 00:00:00, -0.4, 0.6
None, 7.0, 2016-02-15 00:00:00, -0.4, 1.6
None, 3.5, 2016-02-16 00:00:00, -0.4, 0.2
None, 0.6, 2016-02-17 00:00:00, -0.4, 0.5
None, 6.4, 2016-02-18 00:00:00, -0.2, 0.6
None, 3.0, 2016-02-19 00:00:00, -0.1, 1.5
None, 1.5, 2016-02-20 00:00:00, -1.1, 6.7
None, 0.0, 2016-02-21 00:00:00, -2.6, 3.3
None, 0.0, 2016-02-22 00:00:00, -1.5, 1.3
None, 0.0, 2016-02-23 00:00:00, -2.8, 5.9
None, 0.0, 2016-02-24 00:00:00, -4.4, 3.7
None, 0.0, 2016-02-25 00:00:00, -5.0, 2.5
None, 0.0, 2016-02-26 00:00:00, -3.3, 4.1
None, 2.8, 2016-02-27 00:00:00, -1.3, 6.7
None, 3.9, 2016-02-28 00:00:00, -1.8, 0.7
None, 0.9, 2016-02-29 00:00:00, -1.3, 7.3
None, 3.1, 2016-03-01 00:00:00, -1.2, 1.4
None, 0.8, 2016-03-02 00:00:00, -0.4, 4.6
None, 6.7, 2016-03-03 00:00:00, 0.1, 4.3
None, 1.0, 2016-03-04 00:00:00, 0.2, 5.8
None, 6.4, 2016-03-05 00:00:00, 0.3, 4.0
None, 5.7, 2016-03-06 00:00:00, 0.4, 3.1
None, 1.3, 2016-03-07 00:00:00, 0.1, 5.4
None, 0.2, 2016-03-08 00:00:00, 0.0, 3.8
None, 0.3, 2016-03-09 00:00:00, -0.2, 3.9
None, 9.7, 2016-03-10 00:00:00, -0.3, 4.8
None, 0.2, 2016-03-11 00:00:00, 0.0, 8.2
None, 1.1, 2016-03-12 00:00:00, 0.6, 5.4
None, 1.0, 2016-03-13 00:00:00, 0.0, 7.9
None, 0.8, 2016-03-14 00:00:00, 0.1, 3.7
None, 0.0, 2016-03-15 00:00:00, -0.3, 6.0
None, 0.0, 2016-03-16 00:00:00, -2.0, 6.6
None, 0.0, 2016-03-17 00:00:00, -3.2, 5.1
None, 0.0, 2016-03-18 00:00:00, -5.1, 8.3
None, 0.0, 2016-03-19 00:00:00, -2.8, 9.8
None, 0.0, 2016-03-20 00:00:00, 0.2, 9.5
None, 1.1, 2016-03-21 00:00:00, 0.6, 5.4
None, 0.1, 2016-03-22 00:00:00, 0.3, 8.4
None, 0.0, 2016-03-23 00:00:00, 1.1, 5.1
None, 4.5, 2016-03-24 00:00:00, 0.6, 7.1
None, 0.0, 2016-03-25 00:00:00, 0.2, 8.1
None, 0.0, 2016-03-26 00:00:00, 0.1, 6.3
None, 0.0, 2016-03-27 00:00:00, 0.1, 5.5
None, 0.0, 2016-03-28 00:00:00, 1.9, 9.8
None, 0.0, 2016-03-29 00:00:00, 0.3, 11.0
None, 0.0, 2016-03-30 00:00:00, 1.9, 11.7
None, 0.0, 2016-03-31 00:00:00, 1.8, 14.8
None, 0.0, 2016-04-01 00:00:00, 0.5, 14.0
None, 0.0, 2016-04-02 00:00:00, 1.0, 7.9
None, 0.0, 2016-04-03 00:00:00, 2.2, 11.4
None, 0.0, 2016-04-04 00:00:00, 3.4, 6.1
None, 0.5, 2016-04-05 00:00:00, 2.1, 8.9
None, 1.1, 2016-04-06 00:00:00, 2.8, 11.5
None, 0.0, 2016-04-07 00:00:00, 1.1, 12.1
None, 0.0, 2016-04-08 00:00:00, 2.1, 11.6
None, 0.0, 2016-04-09 00:00:00, 3.0, 13.9
None, 0.0, 2016-04-10 00:00:00, 0.7, 13.7
None, 0.0, 2016-04-11 00:00:00, 1.2, 8.6
None, 0.5, 2016-04-12 00:00:00, 1.4, 13.0
None, 0.9, 2016-04-13 00:00:00, 1.2, 9.9
None, 0.0, 2016-04-14 00:00:00, 0.6, 12.7
None, 0.0, 2016-04-15 00:00:00, 1.5, 11.2
None, 0.0, 2016-04-16 00:00:00, 1.7, 12.7
None, 0.0, 2016-04-17 00:00:00, 3.9, 16.2
None, 0.0, 2016-04-18 00:00:00, 3.5, 18.1
None, 0.0, 2016-04-19 00:00:00, 4.2, 18.2
None, 0.1, 2016-04-20 00:00:00, 4.4, 19.1
None, 0.7, 2016-04-21 00:00:00, 5.2, 15.9
None, 0.0, 2016-04-22 00:00:00, 7.5, 12.1
None, 0.0, 2016-04-23 00:00:00, 6.4, 15.0
None, 0.0, 2016-04-24 00:00:00, 5.7, 11.2
None, 0.0, 2016-04-25 00:00:00, 5.8, 12.9
None, 0.0, 2016-04-26 00:00:00, 4.1, 14.6
None, 0.0, 2016-04-27 00:00:00, 2.1, 15.6
None, 0.0, 2016-04-28 00:00:00, 4.3, 15.0
None, 0.0, 2016-04-29 00:00:00, 8.5, 14.5
None, 0.0, 2016-04-30 00:00:00, 5.7, 16.9
None, 0.0, 2016-05-01 00:00:00, 3.5, 18.4
None, 0.0, 2016-05-02 00:00:00, 6.4, 21.7
None, 0.5, 2016-05-03 00:00:00, 6.8, 21.1
None, 1.0, 2016-05-04 00:00:00, 9.1, 13.7
None, 0.1, 2016-05-05 00:00:00, 6.2, 16.8
None, 0.0, 2016-05-06 00:00:00, 4.1, 18.9
None, 0.0, 2016-05-07 00:00:00, 5.6, 21.8
None, 0.1, 2016-05-08 00:00:00, 8.6, 15.8
None, 0.1, 2016-05-09 00:00:00, 5.3, 13.6
None, 0.0, 2016-05-10 00:00:00, 2.9, 17.0
None, 4.4, 2016-05-11 00:00:00, 7.0, 10.0
None, 3.0, 2016-05-12 00:00:00, 6.4, 10.4
None, 0.0, 2016-05-13 00:00:00, 4.9, 18.6
None, 0.0, 2016-05-14 00:00:00, 4.6, 21.8
None, 0.0, 2016-05-15 00:00:00, 5.9, 23.1
None, 0.0, 2016-05-16 00:00:00, 6.5, 21.7
None, 0.0, 2016-05-17 00:00:00, 9.1, 18.7
None, 1.0, 2016-05-18 00:00:00, 9.7, 16.3
None, 7.7, 2016-05-19 00:00:00, 8.6, 11.4
None, 1.2, 2016-05-20 00:00:00, 6.4, 15.5
None, 0.0, 2016-05-21 00:00:00, 9.3, 15.4
None, 1.4, 2016-05-22 00:00:00, 8.7, 11.7
None, 0.0, 2016-05-23 00:00:00, 9.0, 19.0
None, 0.0, 2016-05-24 00:00:00, 7.6, 20.1
None, 0.7, 2016-05-25 00:00:00, 8.9, 16.6
None, 4.3, 2016-05-26 00:00:00, 7.3, 13.0
None, 2.1, 2016-05-27 00:00:00, 6.7, 10.6
None, 4.5, 2016-05-28 00:00:00, 5.7, 14.4
None, 12.7, 2016-05-29 00:00:00, 6.7, 13.9
None, 0.0, 2016-05-30 00:00:00, 5.7, 16.9
None, 0.0, 2016-05-31 00:00:00, 5.8, 17.7
None, 2.3, 2016-06-01 00:00:00, 10.8, 15.6
None, 38.9, 2016-06-02 00:00:00, 9.0, 13.5
None, 1.0, 2016-06-03 00:00:00, 7.5, 17.8
None, 0.0, 2016-06-04 00:00:00, 9.1, 21.9
None, 0.0, 2016-06-05 00:00:00, 10.7, 23.9
None, 0.0, 2016-06-06 00:00:00, 13.0, 23.5
None, 0.0, 2016-06-07 00:00:00, 13.0, 25.3
None, 6.0, 2016-06-08 00:00:00, 13.4, 22.6
None, 1.1, 2016-06-09 00:00:00, 11.8, 18.6
None, 11.5, 2016-06-10 00:00:00, 9.9, 12.8
None, 2.7, 2016-06-11 00:00:00, 9.2, 14.6
None, 0.0, 2016-06-12 00:00:00, 8.9, 14.6
None, 2.3, 2016-06-13 00:00:00, 8.6, 14.1
None, 2.0, 2016-06-14 00:00:00, 6.9, 13.4
None, 0.0, 2016-06-15 00:00:00, 6.5, 12.7
None, 0.0, 2016-06-16 00:00:00, 5.5, 13.1
None, 0.0, 2016-06-17 00:00:00, 7.0, 14.4
None, 0.0, 2016-06-18 00:00:00, 5.1, 15.5
None, 4.5, 2016-06-19 00:00:00, 8.6, 14.2
None, 0.0, 2016-06-20 00:00:00, 8.3, 21.6
None, 0.0, 2016-06-21 00:00:00, 11.1, 21.2
None, 0.0, 2016-06-22 00:00:00, 11.4, 19.2
None, 2.2, 2016-06-23 00:00:00, 10.4, 14.1
None, 0.1, 2016-06-24 00:00:00, 10.1, 18.2
None, 0.0, 2016-06-25 00:00:00, 11.0, 19.0
None, 0.0, 2016-06-26 00:00:00, 9.3, 19.7
None, 0.0, 2016-06-27 00:00:00, 9.8, 22.4
None, 0.0, 2016-06-28 00:00:00, 11.9, 24.5
None, 0.0, 2016-06-29 00:00:00, 12.9, 24.5
None, 9.3, 2016-06-30 00:00:00, 12.8, 20.0
None, 0.9, 2016-07-01 00:00:00, 11.8, 17.6
None, 0.0, 2016-07-02 00:00:00, 11.4, 18.7
None, 1.9, 2016-07-03 00:00:00, 9.6, 17.2
None, 1.0, 2016-07-04 00:00:00, 9.2, 15.3
None, 1.2, 2016-07-05 00:00:00, 9.0, 17.6
None, 0.0, 2016-07-06 00:00:00, 9.9, 22.1
None, 0.2, 2016-07-07 00:00:00, 13.6, 18.9
None, 0.0, 2016-07-08 00:00:00, 12.9, 18.5
None, 2.0, 2016-07-09 00:00:00, 12.7, 17.9
None, 0.0, 2016-07-10 00:00:00, 12.2, 21.6
None, 0.6, 2016-07-11 00:00:00, 14.2, 18.1
None, 7.6, 2016-07-12 00:00:00, 12.3, 17.2
