station_observations
pcpn_amt_pst24hrs, SWE, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, MIN_TEMP, time, SNOW_ON_THE_GROUND
1.0, None, 970.0, None, -3.6, -3.6, 520.0, None, None, 0.0, 592.0, None, 2020-01-01 00:00:00, None
1.0, None, 970.0, None, -3.6, -3.6, 520.0, None, None, 0.0, 593.0, None, 2020-01-01 01:00:00, None
1.0, None, 970.0, None, -3.6, -3.6, 520.0, None, None, 0.0, 593.0, None, 2020-01-01 02:00:00, None
1.0, None, 970.0, None, -3.2, -3.2, 520.0, None, None, 0.0, 593.0, None, 2020-01-01 03:00:00, None
1.0, None, 970.0, None, -2.9, -2.9, 520.0, None, None, 0.0, 594.0, None, 2020-01-01 04:00:00, None
1.0, None, 970.0, None, -3.1, -3.1, 520.0, None, None, 0.0, 596.0, None, 2020-01-01 05:00:00, None
1.0, None, 970.0, None, -3.1, -3.1, 209.0, None, None, 0.0, 597.0, None, 2020-01-01 06:00:00, None
1.0, None, 970.0, None, -3.2, -3.3, 209.0, None, None, 0.0, 598.0, None, 2020-01-01 07:00:00, None
1.0, None, 970.0, None, -3.4, -3.4, 211.0, None, None, 0.0, 598.0, None, 2020-01-01 08:00:00, None
1.0, None, 970.0, None, -3.2, -3.2, 209.0, None, None, 0.0, 598.0, None, 2020-01-01 09:00:00, None
1.0, None, 970.0, None, -2.4, -2.4, 213.0, None, None, 0.0, 600.0, None, 2020-01-01 10:00:00, None
1.0, None, 970.0, None, -1.9, -2.1, 212.0, None, None, 0.0, 601.0, None, 2020-01-01 11:00:00, None
1.0, None, 970.0, None, -1.4, -1.8, 214.0, None, None, 0.0, 604.0, None, 2020-01-01 12:00:00, None
1.0, None, 970.0, None, -1.8, -2.3, 214.0, None, None, 0.0, 605.0, None, 2020-01-01 13:00:00, None
1.0, None, 970.0, None, -2.0, -2.4, 215.0, None, None, 0.0, 607.0, None, 2020-01-01 14:00:00, None
1.0, None, 970.0, None, -2.3, -2.6, 215.0, None, None, 0.0, 608.0, None, 2020-01-01 15:00:00, None
1.0, 780.0, 970.0, None, -2.8, -3.0, 214.0, None, None, 0.0, 608.0, None, 2020-01-01 16:00:00, None
0.0, None, 970.0, None, -3.3, -3.3, 213.0, None, None, 0.0, 608.0, None, 2020-01-01 17:00:00, None
0.0, None, 970.0, None, -3.2, -3.2, 214.0, None, None, 0.0, 610.0, None, 2020-01-01 18:00:00, None
0.0, None, 970.0, None, -5.7, -6.0, 217.0, None, None, 0.0, 612.0, None, 2020-01-01 19:00:00, None
0.0, None, 970.0, None, -6.4, -6.5, 216.0, None, None, 0.0, 613.0, None, 2020-01-01 20:00:00, None
0.0, None, 970.0, None, -7.5, -7.7, 216.0, None, None, 0.0, 613.0, None, 2020-01-01 21:00:00, None
