station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
10.8, 10.8, 2.0, 0.0, 2022-01-02 00:00:00, 10.0, 6.0
2.8, 2.8, 1.5, 0.0, 2022-01-03 00:00:00, 0.0, 5.0
1.4, 1.4, 1.5, 0.0, 2022-01-04 00:00:00, 0.0, 4.5
18.0, 0.0, -3.5, 18.0, 2022-01-05 00:00:00, 0.0, 1.0
0.6, 0.6, 5.0, 0.0, 2022-01-17 00:00:00, 0.0, 8.0
0.4, 0.4, 3.0, 0.0, 2022-01-18 00:00:00, 0.0, 7.0
1.8, 1.8, 6.5, 0.0, 2022-01-19 00:00:00, 0.0, 10.5
0.0, 0.0, 2.5, 0.0, 2022-01-21 00:00:00, 0.0, 9.0
0.0, 0.0, 2.5, 0.0, 2022-01-22 00:00:00, 0.0, 8.5
0.6, 0.6, -1.0, 0.0, 2022-01-28 00:00:00, 0.0, 6.5
9.0, 9.0, 4.0, 0.0, 2022-01-30 00:00:00, 0.0, 7.5
0.0, 0.0, 2.0, 0.0, 2022-01-31 00:00:00, 0.0, 9.0
4.2, 4.2, 2.0, 0.0, 2022-02-01 00:00:00, 0.0, 6.0
6.8, 6.8, 2.0, 0.0, 2022-02-02 00:00:00, 0.0, 5.0
3.8, 3.8, 2.5, 0.0, 2022-02-03 00:00:00, 0.0, 7.0
0.4, 0.4, 6.0, 0.0, 2022-02-04 00:00:00, 0.0, 10.0
0.0, 0.0, 3.0, 0.0, 2022-02-05 00:00:00, 0.0, 7.5
0.0, 0.0, 5.0, 0.0, 2022-02-06 00:00:00, 0.0, 10.0
0.0, 0.0, 3.5, 0.0, 2022-02-07 00:00:00, 0.0, 12.0
1.6, 1.6, 6.5, 0.0, 2022-02-08 00:00:00, 0.0, 7.5
0.4, 0.4, 5.5, 0.0, 2022-02-09 00:00:00, 0.0, 8.5
0.0, 0.0, 6.0, 0.0, 2022-02-10 00:00:00, 0.0, 7.5
0.0, 0.0, 5.5, 0.0, 2022-02-11 00:00:00, 0.0, 12.0
0.0, 0.0, 5.0, 0.0, 2022-02-12 00:00:00, 0.0, 12.0
1.6, 1.6, 6.0, 0.0, 2022-02-13 00:00:00, 0.0, 12.0
0.0, 0.0, 4.5, 0.0, 2022-02-14 00:00:00, 0.0, 10.5
0.0, 0.0, 4.0, 0.0, 2022-02-15 00:00:00, 0.0, 11.0
0.0, 0.0, 3.5, 0.0, 2022-02-16 00:00:00, 0.0, 10.5
0.0, 0.0, 3.5, 0.0, 2022-02-17 00:00:00, 0.0, 11.0
0.0, 0.0, 5.0, 0.0, 2022-02-18 00:00:00, 0.0, 9.5
0.0, 0.0, 3.5, 0.0, 2022-02-19 00:00:00, 0.0, 10.0
3.6, 3.6, 2.5, 0.0, 2022-02-20 00:00:00, 0.0, 9.5
0.0, 0.0, 1.0, 0.0, 2022-02-21 00:00:00, 0.0, 6.0
0.0, 0.0, -2.5, 0.0, 2022-02-22 00:00:00, 0.0, 2.0
1.0, 0.0, -3.5, 1.0, 2022-02-23 00:00:00, 0.0, 4.0
0.0, 0.0, -2.5, 0.0, 2022-02-24 00:00:00, 1.0, 5.5
0.0, 0.0, -2.0, 0.0, 2022-02-25 00:00:00, 0.0, 6.5
10.0, 10.0, -1.0, 0.0, 2022-02-26 00:00:00, 0.0, 7.5
3.0, 3.0, 6.5, 0.0, 2022-03-01 00:00:00, 0.0, 14.0
2.2, 2.2, 7.0, 0.0, 2022-03-02 00:00:00, 0.0, 11.0
0.0, 0.0, 3.0, 0.0, 2022-03-03 00:00:00, 0.0, 11.5
0.0, 0.0, 4.5, 0.0, 2022-03-04 00:00:00, 0.0, 11.0
